date,equity,qx,qy,gross,net
2020-01-02,100000.0,0,0,0.0,0.0
2020-01-03,100000.0,0,0,0.0,0.0
2020-01-06,99991.83400496158,439,-335,19973.480215072632,-113.11947822570801
2020-01-07,99967.78799679823,439,-335,19970.3601436615,-136.34000968933105
2020-01-08,100034.08155565498,439,-335,20017.379545211792,-69.22014808654785
2020-01-09,100020.8957960573,439,-335,20038.520029067993,-81.58043098449707
2020-01-10,100079.44946438803,439,-335,20084.500244140625,-22.199909210205078
2020-01-13,100094.17401206461,0,0,0.0,0.0
2020-01-14,100094.17401206461,0,0,0.0,0.0
2020-01-15,100086.08030557152,-431,328,19988.480421066284,-78.88017082214355
2020-01-16,100025.6754708229,-431,328,20153.020469665527,-138.46031951904297
2020-01-17,100056.42167155059,-431,328,20167.36017227173,-106.88022232055664
2020-01-21,100138.25922495697,-431,328,20088.750017166138,-21.709917068481445
2020-01-22,100020.81028831372,0,0,0.0,0.0
2020-01-23,100012.76177711114,-426,326,19944.739978790283,-26.14047622680664
2020-01-24,100047.2414824797,-426,326,19818.159950256348,9.159950256347656
2020-01-27,100133.91955059033,-426,326,19481.280223846436,98.28022384643555
2020-01-28,100119.17922934434,0,0,0.0,0.0
2020-01-29,100119.17922934434,0,0,0.0,0.0
2020-01-30,100119.17922934434,0,0,0.0,0.0
2020-01-31,100119.17922934434,0,0,0.0,0.0
2020-02-03,100110.94289332636,446,-340,20021.06004714966,-120.54052352905273
2020-02-04,100151.45594229683,446,-340,20327.60041809082,-79.19973754882812
2020-02-05,100138.25726791668,446,-340,20464.83991241455,-91.55977630615234
2020-02-06,100107.65160103653,446,-340,20530.27991104126,-121.32065963745117
2020-02-07,100059.06391815367,446,-340,20319.339782714844,-169.0596466064453
2020-02-10,100058.21778737393,446,-340,20389.01987838745,-167.37981033325195
2020-02-11,100060.73267637147,446,-340,20528.380069732666,-164.02013778686523
2020-02-12,100128.02260832563,446,-340,20718.920581817627,-95.87983322143373
2020-02-13,100098.22462253245,0,0,0.0,0.0
2020-02-14,100098.22462253245,0,0,0.0,0.0
2020-02-18,100098.22462253245,0,0,0.0,0.0
2020-02-19,100098.22462253245,0,0,0.0,0.0
2020-02-20,100098.22462253245,0,0,0.0,0.0
2020-02-21,100090.09892251591,436,-329,19991.90962409973,-162.62982368469238
2020-02-24,99898.28411445157,436,-329,19335.40022468567,-351.95982551574707
2020-02-25,99961.67987922936,0,0,0.0,0.0
2020-02-26,99953.3113791797,465,-349,19974.350248336792,-267.649751663208
2020-02-27,100082.93983568504,465,-349,19378.88992881775,-137.18943214416504
2020-02-28,99946.2175741609,465,-349,18984.710443496704,-273.10966300964355
2020-03-02,99880.92299422668,465,-349,19326.63006210327,-336.02999114990234
2020-03-03,99905.77463819027,465,-349,19114.969654083252,-310.3702926635742
2020-03-04,99982.73678881914,465,-349,19548.71026611328,-232.6098403930664
2020-03-05,99851.83376042849,465,-349,19111.499795913696,-362.69993782043457
2020-03-06,99883.73397422685,465,-349,18725.400053024292,-329.9994144439697
2020-03-09,99976.39439443604,465,-349,16454.190195083618,-234.98969841003418
2020-03-10,100467.29848447492,465,-349,17357.600248336792,256.600248336792
2020-03-11,100147.742940062,0,0,0.0,0.0
2020-03-12,100137.67383135438,-663,491,19991.8595495224,-57.26029872894287
2020-03-13,99798.23004190254,-663,491,22490.880151748657,-395.8801517486572
2020-03-16,100381.58910399092,-663,491,19390.779958724976,190.3005657196045
2020-03-17,99468.13677025084,0,0,0.0,0.0
2020-03-18,99468.13677025084,0,0,0.0,0.0
2020-03-19,99468.13677025084,0,0,0.0,0.0
2020-03-20,99468.13677025084,0,0,0.0,0.0
2020-03-23,99457.17883134761,766,-570,19880.619548797607,-240.38001632690248
2020-03-24,99365.07217677911,766,-570,22377.14030647278,-331.65978050231934
2020-03-25,99162.53858708576,766,-570,23497.939781188965,-533.2601318359375
2020-03-26,99291.09097774033,766,-570,24425.480625152588,-403.72015762329283
2020-03-27,99024.59084422435,766,-570,22883.199913024902,-669.1999130249023
2020-03-30,99665.68755857334,766,-570,24154.199478149414,-25.199478149414062
2020-03-31,99127.12437889795,0,0,0.0,0.0
2020-04-01,99117.20385676698,653,-480,19780.730588912964,-177.67028999328613
2020-04-02,99260.48405134371,653,-480,20289.630186080933,-33.56988716125488
2020-04-03,98882.49930110821,0,0,0.0,0.0
2020-04-06,98872.95392507824,612,-448,19741.760124206543,-59.84021759033203
2020-04-07,98515.56577093313,0,0,0.0,0.0
2020-04-08,98506.06714612867,608,-444,19678.64003753662,-514.4797592163086
2020-04-09,98856.59681184894,608,-444,20385.19921875,-163.12023925781432
2020-04-13,98780.46141205139,0,0,0.0,0.0
2020-04-14,98780.46141205139,0,0,0.0,0.0
2020-04-15,98771.01677612403,-604,437,19721.39970588684,31.000627517700195
2020-04-16,98633.84727966992,-604,437,19717.920141220093,-105.35967445373535
2020-04-17,98790.13197812531,-604,437,20382.379587173462,51.73967933654785
2020-04-20,99088.84595800775,-604,437,19958.79962348938,352.9601764678955
2020-04-21,99191.87209221216,0,0,0.0,0.0
2020-04-22,99182.41613250185,603,-436,19799.290521621704,-274.1498775482178
2020-04-23,99082.05090004047,603,-436,19778.23035812378,-373.6901741027814
2020-04-24,99143.38288754331,603,-436,20101.98984146118,-311.53002548217773
2020-04-27,99091.42687838302,603,-436,20392.63003540039,-360.96929931640625
2020-04-28,98951.05329219176,603,-436,20532.150733947754,-500.48999786376953
2020-04-29,98838.13830080169,603,-436,21283.37989807129,-612.5406341552716
2020-04-30,99138.81935529187,603,-436,20861.20085144043,-310.9597473144531
2020-05-01,98851.3289164897,0,0,0.0,0.0
2020-05-04,98842.05845704032,588,-417,19728.59930419922,-254.03993225097656
2020-05-05,98864.42713115188,588,-417,19893.569246292114,-230.85005378723145
2020-05-06,98751.30895716135,0,0,0.0,0.0
2020-05-07,98751.30895716135,0,0,0.0,0.0
2020-05-08,98751.30895716135,0,0,0.0,0.0
2020-05-11,98751.30895716135,0,0,0.0,0.0
2020-05-12,98751.30895716135,0,0,0.0,0.0
2020-05-13,98751.30895716135,0,0,0.0,0.0
2020-05-14,98751.30895716135,0,0,0.0,0.0
2020-05-15,98751.30895716135,0,0,0.0,0.0
2020-05-18,98742.23786316269,-569,398,19695.380025863647,-105.81954002380553
2020-05-19,98811.47398095799,-569,398,19458.169370651245,-35.76967430114746
2020-05-20,98631.92300322647,-569,398,19859.799774169922,-214.51953125
2020-05-21,98669.3068420065,-569,398,19590.750234603882,-176.31072044372377
2020-05-22,98685.56488773704,-569,398,19573.679843902588,-159.24032974242982
2020-05-26,98530.16165806216,-569,398,20354.68003463745,-311.3997917175293
2020-05-27,98503.63275781169,-569,398,20579.359643936157,-337.07940101623535
2020-05-28,98420.28237536002,-569,398,20622.049535751343,-419.57020378112793
2020-05-29,98568.56791600114,-569,398,20281.859453201294,-270.4199390411359
2020-06-01,98262.60342643998,-569,398,20991.250282287598,-573.8505859375
2020-06-02,98274.09801827541,-569,398,21345.030242919922,-561.46975708008
2020-06-03,98081.91793357095,-569,398,21791.029817581177,-752.7495746612549
2020-06-04,98046.32035719366,-569,398,21722.22008705139,-787.4206943511963
2020-06-05,97992.85638401407,-569,398,22284.200038909912,-839.9596138000488
2020-06-08,97931.86543412875,-569,398,22612.980186462402,-898.0996398925781
2020-06-09,98028.27939046886,-569,398,22300.679656982422,-800.7194747924805
2020-06-10,97930.10006985797,-569,398,22214.829969406128,-897.9494228363037
2020-06-11,98146.96934429403,-569,398,20771.170125961304,-680.1303081512451
2020-06-12,98122.05777950087,-569,398,21145.44055557251,-704.1603126525879
2020-06-15,98059.89198027508,-569,398,21122.12002182007,-704.7203254699707
2020-06-16,98068.57542545004,-569,398,21359.299158096313,-695.1398868560791
2020-06-17,98009.11893062972,-569,398,21266.610399246216,-753.690034866333
2020-06-18,98085.01390018263,-569,398,21229.60987854004,-676.8901214599609
2020-06-19,98163.2437066067,-569,398,21047.00047302246,-597.7600479125977
2020-06-22,98023.36442390786,-569,398,21399.130069732666,-734.9707984924316
2020-06-23,98029.26604447413,-569,398,21440.079921722412,-728.1595573425293
2020-06-24,98094.54425280646,-569,398,20880.37002182007,-661.9703254699707
2020-06-25,98094.7188685983,-569,398,21086.27028656006,-660.9104080200177
2020-06-26,98068.94479300876,-569,398,20697.230278015137,-685.7907638549786
2020-06-29,98004.74951105184,-569,398,21045.349782943726,-747.3497829437256
2020-06-30,98086.81310912002,-569,398,21264.869926452637,-664.3905944824219
2020-07-01,97984.30078771253,0,0,0.0,0.0
2020-07-02,97984.30078771253,0,0,0.0,0.0
2020-07-06,97984.30078771253,0,0,0.0,0.0
2020-07-07,97984.30078771253,0,0,0.0,0.0
2020-07-08,97984.30078771253,0,0,0.0,0.0
2020-07-09,97984.30078771253,0,0,0.0,0.0
2020-07-10,97984.30078771253,0,0,0.0,0.0
2020-07-13,97984.30078771253,0,0,0.0,0.0
2020-07-14,97984.30078771253,0,0,0.0,0.0
2020-07-15,97984.30078771253,0,0,0.0,0.0
2020-07-16,97984.30078771253,0,0,0.0,0.0
2020-07-17,97984.30078771253,0,0,0.0,0.0
2020-07-20,97984.30078771253,0,0,0.0,0.0
2020-07-21,97984.30078771253,0,0,0.0,0.0
2020-07-22,97984.30078771253,0,0,0.0,0.0
2020-07-23,97984.30078771253,0,0,0.0,0.0
2020-07-24,97984.30078771253,0,0,0.0,0.0
2020-07-27,97984.30078771253,0,0,0.0,0.0
2020-07-28,97984.30078771253,0,0,0.0,0.0
2020-07-29,97984.30078771253,0,0,0.0,0.0
2020-07-30,97984.30078771253,0,0,0.0,0.0
2020-07-31,97984.30078771253,0,0,0.0,0.0
2020-08-03,97975.88870513035,482,-359,19560.99995613098,-97.83944129943848
2020-08-04,97897.72993748842,482,-359,19763.67001724243,-175.19031143188477
2020-08-05,97820.59060505385,482,-359,19917.109870910645,-251.51023864746094
2020-08-06,97847.75216368846,482,-359,20024.080715179443,-223.51983261108398
2020-08-07,97864.36933504163,482,-359,19862.02997970581,-206.07056808471498
2020-08-10,97899.7262670494,482,-359,20036.280075073242,-168.23948669433958
2020-08-11,97912.12532779631,482,-359,20042.329294204712,-155.010103225708
2020-08-12,97943.2753283023,482,-359,20260.98948669434,-123.03007507324219
2020-08-13,97808.50755608383,482,-359,20076.799633026123,-256.960147857666
2020-08-14,97834.0318407146,482,-359,20060.079935073853,-230.60022926330566
2020-08-17,97795.1010011996,482,-359,20289.3099193573,-267.0294780731201
2020-08-18,97848.40585544342,482,-359,20321.920431137085,-212.87984275818053
2020-08-19,97911.05112389417,482,-359,20277.709869384766,-149.39067840576172
2020-08-20,97847.7518284929,482,-359,20272.689989089966,-211.8505039215088
2020-08-21,97785.18065846206,482,-359,20131.980211257935,-273.57984352111816
2020-08-24,97845.525189288,482,-359,20252.28044128418,-210.7195587158203
2020-08-25,97776.27336304005,482,-359,20262.84999847412,-279.13043975829896
2020-08-26,97688.4396853688,482,-359,20455.880073547363,-366.1199264526367
2020-08-27,97695.8934922013,482,-359,20428.290126800537,-357.81042098999023
2020-08-28,97740.7793964546,482,-359,20459.669925689697,-312.0702934265137
2020-08-31,97764.17956036054,482,-359,20327.670112609863,-286.1092300415039
2020-09-01,97685.48200637495,482,-359,20386.240083694458,-363.9596424102783
2020-09-02,97817.42930536177,482,-359,20590.840404510498,-231.15959548950195
2020-09-03,97737.93827798888,0,0,0.0,0.0
2020-09-04,97737.93827798888,0,0,0.0,0.0
2020-09-08,97737.93827798888,0,0,0.0,0.0
2020-09-09,97737.93827798888,0,0,0.0,0.0
2020-09-10,97737.93827798888,0,0,0.0,0.0
2020-09-11,97737.93827798888,0,0,0.0,0.0
2020-09-14,97737.93827798888,0,0,0.0,0.0
2020-09-15,97737.93827798888,0,0,0.0,0.0
2020-09-16,97737.93827798888,0,0,0.0,0.0
2020-09-17,97729.60480585907,-480,348,19500.720588684082,-54.48021697998047
2020-09-18,97763.96146867829,-480,348,19305.479278564453,-19.319915771484375
2020-09-21,97817.978739462,-480,348,18901.079498291016,37.079864501953125
2020-09-22,97816.03424753617,0,0,0.0,0.0
2020-09-23,97816.03424753617,0,0,0.0,0.0
2020-09-24,97816.03424753617,0,0,0.0,0.0
2020-09-25,97816.03424753617,0,0,0.0,0.0
2020-09-28,97807.62075721772,-488,354,19549.059631347656,-29.499847412109375
2020-09-29,97859.73592817009,-488,354,19397.020294189453,23.419921875
2020-09-30,97906.93371788366,0,0,0.0,0.0
2020-10-01,97906.93371788366,0,0,0.0,0.0
2020-10-02,97906.93371788366,0,0,0.0,0.0
2020-10-05,97906.93371788366,0,0,0.0,0.0
2020-10-06,97906.93371788366,0,0,0.0,0.0
2020-10-07,97906.93371788366,0,0,0.0,0.0
2020-10-08,97898.65049678837,-473,343,19548.149938583374,-24.590566635131836
2020-10-09,97884.37697941692,-473,343,19657.65998649597,-38.05972480773926
2020-10-12,97843.16900252792,-473,343,19751.31967163086,-76.83946228027344
2020-10-13,97832.28407449904,-473,343,19589.88974380493,-86.9095344543457
2020-10-14,97813.4947794274,-473,343,19552.99045562744,-104.89019393920898
2020-10-15,97799.43727227066,-473,343,19511.36015701294,-118.13984298706055
2020-10-16,97774.62068516514,-473,343,19487.350261688232,-142.14973831176758
2020-10-19,97763.43056740324,-473,343,19317.760147094727,-150.91978073120117
2020-10-20,97806.3908320328,-473,343,19342.600061416626,-107.15943336486816
2020-10-21,97769.16134725214,-473,343,19296.709665298462,-143.58961296081543
2020-10-22,97717.52241733942,-473,343,19416.149940490723,-194.42962646484375
2020-10-23,97676.63673588347,-473,343,19517.96981239319,-234.50939369201842
2020-10-26,97642.47108909888,-473,343,19192.979907989502,-266.239803314209
2020-10-27,97727.75131304585,-473,343,19052.020042419434,-180.15988540649414
2020-10-28,97640.68051011034,-473,343,18445.440324783325,-266.4403247833252
2020-10-29,97638.50174439677,-473,343,18529.170684814453,-267.8501091003418
2020-10-30,97633.57892114889,-473,343,18430.419981002808,-272.000452041626
2020-11-02,97695.86380910454,-473,343,18599.06941986084,-207.40978622436523
2020-11-03,97598.17045746058,-473,343,19107.59016418457,-304.3302688598633
2020-11-04,97640.6623896941,-473,343,19160.340063095093,-261.0405864715576
2020-11-05,97552.76424084509,-473,343,19707.060125350952,-348.1405963897705
2020-11-06,97529.59044513907,-473,343,19722.549577713013,-370.4902057647705
2020-11-09,97280.71333206387,-473,343,20270.789833068848,-616.8900947570801
2020-11-10,97387.66919353022,0,0,0.0,0.0
2020-11-11,97379.63816558274,-441,329,19428.01024246216,-267.04969024658203
2020-11-12,97409.41841159241,-441,329,19088.1598072052,-236.46005821228027
2020-11-13,97331.20437303356,-441,329,19257.700536727905,-313.8799343109131
2020-11-16,97354.34099518711,-441,329,19574.310026168823,-288.33037757873535
2020-11-17,97381.94558639903,-441,329,19638.01001548767,-259.90951347351074
2020-11-18,97341.5775859687,-441,329,19624.920343399048,-299.4597911834717
2020-11-19,97305.26839077064,-441,329,19739.370025634766,-334.9501762390137
2020-11-20,97329.57420751065,-441,329,19799.77993965149,-309.8193874359131
2020-11-23,97385.19438909055,-441,329,19866.699588775635,-251.71994018554688
2020-11-24,97282.63775402168,0,0,0.0,0.0
2020-11-25,97282.63775402168,0,0,0.0,0.0
2020-11-27,97282.63775402168,0,0,0.0,0.0
2020-11-30,97282.63775402168,0,0,0.0,0.0
2020-12-01,97274.79125945934,417,-319,19375.44027519226,-51.66021156311035
2020-12-02,97244.5332411491,417,-319,19479.96004676819,-81.1198558807373
2020-12-03,97222.6092992787,417,-319,19592.82061767578,-102.23991775512695
2020-12-04,97155.2696550506,417,-319,19826.149921417236,-168.7701759338379
2020-12-07,97121.40460459072,417,-319,19807.510290145874,-200.17009925842103
2020-12-08,97164.97240487198,417,-319,19896.56012916565,-155.78006553649902
2020-12-09,97206.34789816961,417,-319,19887.71973991394,-113.58050346374512
2020-12-10,97191.51663623154,417,-319,20026.83030319214,-127.58979415893737
2020-12-11,97195.85806919978,417,-319,19929.920097351074,-122.42009735107422
2020-12-14,97303.92101813258,417,-319,19671.55064201355,27.530057907104492
2020-12-15,97300.26472641311,0,0,0.0,0.0
2020-12-16,97300.26472641311,0,0,0.0,0.0
2020-12-17,97300.26472641311,0,0,0.0,0.0
2020-12-18,97292.502066563,-407,311,19398.70976448059,-129.15004920959473
2020-12-21,97295.89488192835,-407,311,19249.849689483643,-123.34968948364258
2020-12-22,97343.70828306259,-407,311,19176.359560012817,-74.7401294708252
2020-12-23,97286.51756134086,0,0,0.0,0.0
2020-12-24,97286.51756134086,0,0,0.0,0.0
2020-12-28,97286.51756134086,0,0,0.0,0.0
2020-12-29,97286.51756134086,0,0,0.0,0.0
2020-12-30,97286.51756134086,0,0,0.0,0.0
2020-12-31,97286.51756134086,0,0,0.0,0.0
2021-01-04,97286.51756134086,0,0,0.0,0.0
2021-01-05,97286.51756134086,0,0,0.0,0.0
2021-01-06,97286.51756134086,0,0,0.0,0.0
2021-01-07,97286.51756134086,0,0,0.0,0.0
2021-01-08,97278.89046070442,390,-302,19380.920154571533,-13.520214080810547
2021-01-11,97216.25940178502,390,-302,19121.360237121582,-73.76017761230469
2021-01-12,97207.53061981378,390,-302,19246.299880981445,-81.70011901855469
2021-01-13,97186.73602852692,390,-302,19196.100051879883,-101.70040893554688
2021-01-14,97232.6041086759,390,-302,19375.639625549316,-55.039268493652344
2021-01-15,97209.68517670628,390,-302,19148.160274505615,-77.1596794128418
2021-01-19,97232.18452573665,390,-302,19216.099765777588,-51.500003814697266
2021-01-20,97311.51312511662,390,-302,19471.379585266113,28.62041473388672
2021-01-21,97365.72876383117,0,0,0.0,0.0
2021-01-22,97365.72876383117,0,0,0.0,0.0
2021-01-25,97358.07872910018,-392,303,19406.349681854248,-177.9699592590332
2021-01-26,97316.10410759319,-392,303,19380.86025428772,-219.13974571228027
2021-01-27,97331.25879125758,-392,303,18855.859998703003,-203.1795825958252
2021-01-28,97372.91512015827,-392,303,19031.579635620117,-160.74000549316224
2021-01-29,97494.66651577206,-392,303,18581.800115585327,-38.19988441467285
2021-02-01,97427.14565275704,0,0,0.0,0.0
2021-02-02,97427.14565275704,0,0,0.0,0.0
2021-02-03,97419.4518687722,395,-308,19433.999906539917,-31.60032844543457
2021-02-04,97377.74215116932,395,-308,19467.0094871521,-72.51008987426758
2021-02-05,97381.07875415319,395,-308,19668.270071029663,-68.37049293518066
2021-02-08,97320.38615420938,395,-308,19868.729627609253,-126.62980842590332
2021-02-09,97243.90387031606,395,-308,19928.589822769165,-202.2903652191162
2021-02-10,97198.68748619298,395,-308,19933.479513168335,-246.67945289611816
2021-02-11,97259.71748618588,395,-308,20013.820432662964,-184.82013130187988
2021-02-12,97243.016875892,395,-308,20053.3899974823,-200.69066047668457
2021-02-16,97272.48844429277,395,-308,20178.58959388733,-167.8896541595459
2021-02-17,97290.27187074123,395,-308,20049.37049293518,-149.2700710296631
2021-02-18,97348.76180648312,395,-308,20053.250415802002,-89.95005416870117
2021-02-19,97243.26627690409,0,0,0.0,0.0
2021-02-22,97243.26627690409,0,0,0.0,0.0
2021-02-23,97243.26627690409,0,0,0.0,0.0
2021-02-24,97243.26627690409,0,0,0.0,0.0
2021-02-25,97243.26627690409,0,0,0.0,0.0
2021-02-26,97243.26627690409,0,0,0.0,0.0
2021-03-01,97235.70134838122,383,-295,19419.26014137268,14.160501480102539
2021-03-02,97108.7503728923,0,0,0.0,0.0
2021-03-03,97101.19465791751,383,-295,19369.209894180298,-88.98983573913574
2021-03-04,97138.53452651895,383,-295,19200.850315093994,-50.85031509399414
2021-03-05,97056.543979865,383,-295,19396.949403762817,-132.04969596862793
2021-03-08,96937.42637797601,383,-295,19345.139846801758,-248.75961303710938
2021-03-09,96954.481054474,383,-295,19534.10029220581,-230.89970779418945
2021-03-10,96806.26800684651,383,-295,19528.300495147705,-378.3004951477051
2021-03-11,96715.97035696497,383,-295,19763.320474624634,-467.780065536499
2021-03-12,96639.93890868641,383,-295,19800.21963119507,-542.9800987243634
2021-03-15,96603.17045363827,383,-295,19895.75996208191,-577.2404880523682
2021-03-16,96601.75925225581,383,-295,19865.6905670166,-577.8103332519531
2021-03-17,96534.51967143251,383,-295,19970.389419555664,-644.2097702026367
2021-03-18,96527.40279702666,383,-295,19639.62017059326,-650.4794692993164
2021-03-19,96481.4880933628,383,-295,19600.4405670166,-695.5603332519531
2021-03-22,96595.12591854537,383,-295,19622.180728912354,-579.4202613830585
2021-03-23,96587.66550488849,383,-295,19391.3498878479,-586.0504722595215
2021-03-24,96583.01515868538,383,-295,19387.520530700684,-589.8798294067383
2021-03-25,96637.31340752926,383,-295,19401.339948654175,-534.760591506958
2021-03-26,96692.3949957516,0,0,0.0,0.0
2021-03-29,96692.3949957516,0,0,0.0,0.0
2021-03-30,96692.3949957516,0,0,0.0,0.0
2021-03-31,96692.3949957516,0,0,0.0,0.0
2021-04-01,96692.3949957516,0,0,0.0,0.0
2021-04-05,96692.3949957516,0,0,0.0,0.0
2021-04-06,96692.3949957516,0,0,0.0,0.0
2021-04-07,96692.3949957516,0,0,0.0,0.0
2021-04-08,96692.3949957516,0,0,0.0,0.0
2021-04-09,96692.3949957516,0,0,0.0,0.0
2021-04-12,96692.3949957516,0,0,0.0,0.0
2021-04-13,96692.3949957516,0,0,0.0,0.0
2021-04-14,96692.3949957516,0,0,0.0,0.0
2021-04-15,96685.03352993201,-371,271,19297.629623413086,-165.03003692626953
2021-04-16,96694.78393607384,-371,271,19330.44037437439,-154.47979545593262
2021-04-19,96670.15150299424,-371,271,19211.74939918518,-176.7099781036377
2021-04-20,96681.4148823977,-371,271,18852.809564590454,-164.64981269836426
2021-04-21,96664.4428923029,-371,271,19177.939849853516,-180.84026336669922
2021-04-22,96664.38747835589,-371,271,19052.539945602417,-180.10011100769043
2021-04-23,96601.7869610001,-371,271,19228.169584274292,-241.91024589538574
2021-04-26,96645.00693204482,-371,271,19377.669523239136,-196.28985404968262
2021-04-27,96710.692629338,-371,271,19332.859912872314,-129.79974746704102
2021-04-28,96787.16255032663,-371,271,19580.78932952881,-52.529991149902344
2021-04-29,96819.04815504805,0,0,0.0,0.0
2021-04-30,96819.04815504805,0,0,0.0,0.0
2021-05-03,96819.04815504805,0,0,0.0,0.0
2021-05-04,96819.04815504805,0,0,0.0,0.0
2021-05-05,96819.04815504805,0,0,0.0,0.0
2021-05-06,96819.04815504805,0,0,0.0,0.0
2021-05-07,96819.04815504805,0,0,0.0,0.0
2021-05-10,96819.04815504805,0,0,0.0,0.0
2021-05-11,96819.04815504805,0,0,0.0,0.0
2021-05-12,96819.04815504805,0,0,0.0,0.0
2021-05-13,96819.04815504805,0,0,0.0,0.0
2021-05-14,96819.04815504805,0,0,0.0,0.0
2021-05-17,96819.04815504805,0,0,0.0,0.0
2021-05-18,96811.77098848745,361,-263,19316.320302963257,-277.17969703674316
2021-05-19,96736.95501680505,361,-263,19058.210346221924,-351.19045639038086
2021-05-20,96847.86811696186,361,-263,19401.360370635986,-239.47970962524414
2021-05-21,96773.57015257076,361,-263,19301.56996536255,-312.970516204834
2021-05-24,96763.47187356358,361,-263,19446.43039894104,-320.6505641937256
2021-05-25,96850.06933497578,361,-263,19402.34020614624,-233.2407569885254
2021-05-26,96803.80168076158,0,0,0.0,0.0
2021-05-27,96803.80168076158,0,0,0.0,0.0
2021-05-28,96803.80168076158,0,0,0.0,0.0
2021-06-01,96803.80168076158,0,0,0.0,0.0
2021-06-02,96803.80168076158,0,0,0.0,0.0
2021-06-03,96803.80168076158,0,0,0.0,0.0
2021-06-04,96803.80168076158,0,0,0.0,0.0
2021-06-07,96796.62018410627,-354,252,19306.26028060913,-43.37966537475586
2021-06-08,96769.06390028392,-354,252,19307.81983566284,-70.1407585144043
2021-06-09,96817.4680881889,-354,252,19172.940216064453,-20.940216064451306
2021-06-10,96744.93116445735,-354,252,19104.77981185913,-18.300350189208984
2021-06-11,96738.62563875977,-354,252,19085.099842071533,-23.819995880126953
2021-06-14,96757.8704334675,-354,252,19149.180152893066,-2.2193069458007812
2021-06-15,96778.80273093216,-354,252,19142.580196380615,19.50003433227539
2021-06-16,96754.97660968405,-354,252,19034.579360961914,-3.5402069091815065
2021-06-17,96728.7540165883,-354,252,18853.379642486572,-28.980411529541016
2021-06-18,96840.65809052915,-354,252,18498.77981185913,83.69964981079102
2021-06-21,96835.94530856507,0,0,0.0,0.0
2021-06-22,96835.94530856507,0,0,0.0,0.0
2021-06-23,96835.94530856507,0,0,0.0,0.0
2021-06-24,96828.68775924531,364,-258,19283.4005279541,-107.88041687011719
2021-06-25,96804.21129948838,364,-258,19321.640419006348,-131.55997467041198
2021-06-28,96804.89343456733,364,-258,19180.239555358887,-128.47949981689453
2021-06-29,96837.17969851429,364,-258,19161.72011566162,-95.39972686767578
2021-06-30,96765.63957458099,0,0,0.0,0.0
2021-07-01,96765.63957458099,0,0,0.0,0.0
2021-07-02,96758.37243034552,366,-258,19279.44013595581,-137.6404151916504
2021-07-06,96701.90067807594,366,-258,19076.519760131836,-190.92031860351562
2021-07-07,96837.12939235594,366,-258,19145.45973587036,-54.8997917175293
2021-07-08,96819.50573072003,0,0,0.0,0.0
2021-07-09,96819.50573072003,0,0,0.0,0.0
2021-07-12,96819.50573072003,0,0,0.0,0.0
2021-07-13,96819.50573072003,0,0,0.0,0.0
2021-07-14,96819.50573072003,0,0,0.0,0.0
2021-07-15,96812.1586297491,-375,263,19335.379816055298,0.3793010711669922
2021-07-16,96765.7750781319,-375,263,19154.79062461853,-45.20966148376465
2021-07-19,96747.61781656434,-375,263,18733.999799728394,-60.999799728393555
2021-07-20,96780.50482407516,-375,263,19000.160234451294,-27.340394973754883
2021-07-21,96816.06326696825,-375,263,19321.5,9.0
2021-07-22,96819.74970512376,-375,263,19295.979415893555,13.4801025390625
2021-07-23,96809.31748024913,-375,263,19421.339851379395,3.8403091430645873
2021-07-26,96793.04272262873,-375,263,19429.959547042847,-10.040510177612305
2021-07-27,96779.4338133288,-375,263,19379.65011405945,-22.850515365600586
