date,signal_date,event,delta_qx,delta_qy,qx,qy,px,py,commission,slippage
2020-01-03,2020-01-02,ENTRY,109,-83,109,-83,22.5,29.829999923706055,2.074276699810028,0.9856779987335205
2020-01-15,2020-01-14,EXIT,-109,83,0,0,23.280000686645508,30.350000381469727,2.0761256022453307,1.0113140213012697
2020-01-28,2020-01-27,ENTRY,109,-83,109,-83,22.940000534057617,30.260000228881836,2.0753474005699157,1.0024080154418946
2020-02-11,2020-02-10,EXIT,-109,83,0,0,22.829999923706055,30.43000030517578,2.0746540997505187,1.00283200340271
2020-02-12,2020-02-11,ENTRY,109,-82,109,-82,23.1200008392334,30.61000061035156,2.075300601501465,1.0060200283050538
2020-02-27,2020-02-26,EXIT,-109,82,0,0,20.690000534057617,27.959999084472656,2.0676563017463687,0.9095859966278076
2020-02-28,2020-02-27,ENTRY,120,-89,120,-89,20.1200008392334,27.59000015258789,2.0736653004074097,0.9739820228576661
2020-03-11,2020-03-10,EXIT,-120,89,0,0,17.459999084472656,23.420000076293945,2.0628559967041014,0.835915979385376
2022-12-01,2022-11-30,ENTRY,-105,71,-105,71,23.729999542236328,35.40999984741211,2.0747494985580444,1.001151988220215
2022-12-15,2022-12-14,EXIT,105,-71,0,0,22.299999237060547,32.779998779296875,2.0698213973999025,0.9337759666442871
2022-12-16,2022-12-15,ENTRY,-112,76,-112,76,22.209999084472656,32.41999816894531,2.074625596923828,0.9902879516601563
2023-01-03,2022-12-30,EXIT,112,-76,0,0,21.969999313354492,32.540000915527344,2.0741912020874023,0.9867359985351563
2024-06-14,2024-06-13,ENTRY,-103,68,-103,68,24.09000015258789,36.540000915527344,2.0744381004714967,0.9931980155944824
2024-07-01,2024-06-28,EXIT,103,-68,0,0,24.34000015258789,36.93000030517578,2.0753372006225588,1.0036520072937012
2024-10-22,2024-10-21,ENTRY,95,-59,95,-59,26.13999938964844,41.81999969482422,2.0740213994598387,0.9901359848022462
2024-11-05,2024-11-04,EXIT,-95,59,0,0,25.8700008392334,41.36000061035156,2.0737295023918154,0.979578023147583
2024-11-13,2024-11-12,ENTRY,97,-59,97,-59,25.510000228881836,42.13999938964844,2.0745877989196777,0.9921459972381592
2024-11-27,2024-11-26,EXIT,-97,59,0,0,26.25,42.83000183105469,2.0763875,1.0146440216064452
