date,event,qx,qy,px,py,hedge,commission,slippage
2020-01-06,ENTRY,438,-336,22.6200008392334,29.979999542236328,1.3050672933861156,4.172198395385743,3.9961680427551265
2020-01-14,EXIT,-438,336,23.170000076293945,30.190000534057617,,4.174453801002502,4.058460042572022
2020-02-03,ENTRY,444,-340,22.309999465942383,29.6200008392334,1.3065975600506483,4.222124008560181,3.995288009643555
2020-02-18,EXIT,-444,340,22.979999542236328,30.520000457763672,,4.226093593902588,4.115983990478516
2020-02-20,ENTRY,430,-329,22.920000076293945,30.739999771118164,1.3094996967859458,4.098403797740936,3.9938119915008548
2020-02-25,EXIT,-430,329,21.459999084472656,29.290000915527344,,4.071833988189697,3.772841981506348
2020-02-26,ENTRY,460,-351,21.190000534057617,29.0,1.3112812122850046,4.3603700000000005,3.985280049133301
2020-03-11,EXIT,-460,351,17.459999084472656,23.420000076293945,,4.295947987365723,3.2504039211273197
2020-03-17,ENTRY,658,-500,15.5600004196167,19.559999465942383,1.3167291394395255,6.083399991989136,4.003696001815796
2020-03-18,EXIT,-658,500,13.720000267028809,18.6200008392334,,6.060832805271149,3.6675521190643314
2020-03-23,ENTRY,757,-575,12.81999969482422,17.649999618530273,1.317083789752458,6.9644624934196475,3.9706979099273685
2020-03-31,EXIT,-757,575,15.539999961853027,21.850000381469727,,7.012913399133683,4.865506038093567
2020-04-01,ENTRY,642,-487,15.010000228881836,20.790000915527344,1.3196962136552324,5.948741913375854,3.9522301185607907
2020-04-16,EXIT,-642,487,16.40999984741211,22.440000534057617,,5.961056597061157,4.292700032424927
2020-04-21,ENTRY,609,-460,15.5,22.489999771118164,1.3257772234285723,5.655361996841432,3.9569799789428712
2020-05-05,EXIT,-609,460,16.719999313354492,24.1299991607666,,5.650474387454986,4.256455839157105
2020-05-06,ENTRY,576,-432,16.40999984741211,23.940000534057617,1.334708749373658,5.350262406921387,3.958848028564453
2020-05-20,EXIT,-576,432,17.639999389648438,24.68000030517578,,5.3448191894531245,4.164479956054688
2020-06-04,ENTRY,-504,375,19.780000686645508,26.299999237060547,1.346381737114624,4.69407361038208,3.9663240119934082
2020-06-18,EXIT,504,-375,19.25,25.81999969482422,,4.685474996566772,3.876899977111816
2020-07-06,ENTRY,-506,375,19.850000381469727,26.209999084472656,1.3496067561006226,4.706323005790711,3.9745699699401857
2020-07-20,EXIT,506,-375,20.0,27.049999237060547,,4.709312491416932,4.052749942779541
2020-11-04,ENTRY,-488,359,20.530000686645508,27.549999237060547,1.359446512170148,4.53555921005249,3.9818180122375493
2020-11-18,EXIT,488,-359,22.59000015258789,29.3700008392334,,4.551314909038543,4.313550075149536
2020-11-19,ENTRY,-445,329,22.760000228881836,29.489999771118164,1.3536297384432872,4.173846003055573,3.9660820053100583
2020-12-04,EXIT,445,-329,23.56999969482422,31.34000015258789,,4.179325801506042,4.159901982879639
2020-12-17,ENTRY,-416,311,24.290000915527344,31.329999923706055,1.3393532541183675,3.9381392114257814,3.9696540714263917
2021-01-04,EXIT,416,-311,24.030000686645508,30.940000534057617,,3.9236702049827574,3.92376409034729
2021-01-25,ENTRY,-405,306,24.979999542236328,31.729999542236328,1.3261375704614669,3.858506994438171,3.965255934906006
2021-02-08,EXIT,405,-306,24.989999771118164,32.459999084472656,,3.852982791595459,4.010741925430298
2021-03-09,ENTRY,392,-298,25.200000762939453,33.5,1.3160624435620416,3.74949,3.972280059814453
2021-03-23,EXIT,-392,298,24.549999237060547,33.86000061035156,,3.738707991027832,3.9427759765625
2021-03-24,ENTRY,395,-299,24.540000915527344,33.86000061035156,1.3233541763152914,3.7737242054748537,3.963488108825684
2021-04-08,EXIT,-395,299,25.479999542236328,34.959999084472656,,3.7719379945755005,4.103527909088134
2021-04-09,ENTRY,381,-287,25.520000457763672,35.06999969482422,1.3300899341784393,3.6419526973724365,3.9576420173645017
2021-04-23,EXIT,-381,287,26.239999771118164,35.029998779296875,,3.639923197383881,4.010209912490845
2021-05-17,ENTRY,365,-273,26.450000762939453,37.189998626708984,1.3405324051651883,3.4945860887527465,3.9614239807128904
2021-06-01,EXIT,-365,273,26.86000061035156,38.130001068115234,,3.4841170066833493,4.042678102874755
2021-06-02,ENTRY,358,-265,27.1200008392334,38.220001220703125,1.3510404545259977,3.41884900970459,3.967452124786377
2021-06-16,EXIT,-358,265,26.88999938964844,37.7599983215332,,3.403798593444824,3.926603867340088
2021-07-02,ENTRY,371,-270,26.149999618530273,37.630001068115234,1.376922261330452,3.5098030086517333,3.9723500293731693
2021-07-15,EXIT,-371,270,25.780000686645508,36.7599983215332,,3.4919314076423644,3.89791596031189
2021-10-15,ENTRY,370,-261,26.15999984741211,38.9900016784668,1.419999722675185,3.460291713142395,3.971118076324463
2021-10-27,EXIT,-370,261,26.559999465942383,39.0,,3.449815994071961,4.001239960479737
