date,equity,qx,qy,gross,net
2020-01-02,100000.0,0,0,0.0,0.0
2020-01-03,100000.0,0,0,0.0,0.0
2020-01-06,99996.92767039055,109,-84,4983.900053024292,-52.73987007141113
2020-01-07,99990.93055266565,109,-84,4983.150035858154,-58.53000259399414
2020-01-08,100007.41332653709,109,-84,4994.799886703491,-41.840036392211914
2020-01-09,100004.09627015253,109,-84,5000.090007781982,-44.95010757446289
2020-01-10,100018.64906966542,109,-84,5011.490060806274,-30.189977645874023
2020-01-13,100024.20753875592,109,-84,5044.550081253052,-24.009931564331055
2020-01-14,100034.49107287773,0,0,0.0,0.0
2020-01-15,100034.49107287773,0,0,0.0,0.0
2020-01-16,100034.49107287773,0,0,0.0,0.0
2020-01-17,100034.49107287773,0,0,0.0,0.0
2020-01-21,100034.49107287773,0,0,0.0,0.0
2020-01-22,100034.49107287773,0,0,0.0,0.0
2020-01-23,100034.49107287773,0,0,0.0,0.0
2020-01-24,100034.49107287773,0,0,0.0,0.0
2020-01-27,100034.49107287773,0,0,0.0,0.0
2020-01-28,100034.49107287773,0,0,0.0,0.0
2020-01-29,100034.49107287773,0,0,0.0,0.0
2020-01-30,100034.49107287773,0,0,0.0,0.0
2020-01-31,100034.49107287773,0,0,0.0,0.0
2020-02-03,100031.41671987319,111,-85,4994.110012054443,-41.290130615234375
2020-02-04,100041.34998146731,111,-85,5070.550104141235,-31.149934768676758
2020-02-05,100037.98031317745,111,-85,5104.789978027344,-34.30994415283203
2020-02-06,100030.30889695333,111,-85,5121.129978179932,-41.770164489746094
2020-02-07,100018.3069757367,111,-85,5068.539945602417,-53.55991172790527
2020-02-10,100018.05544307992,111,-85,5085.919969558716,-53.17995262145996
2020-02-11,100018.6041654056,111,-85,5120.6800174713135,-52.420034408569336
2020-02-12,100035.28164793638,111,-85,5168.17014503479,-35.52995872497513
2020-02-13,100029.98773056628,111,-85,5144.389974594116,-40.61002540588379
2020-02-14,100027.08453721422,111,-85,5160.3999671936035,-43.300136566161655
2020-02-18,100023.00366190582,0,0,0.0,0.0
2020-02-19,100023.00366190582,0,0,0.0,0.0
2020-02-20,100019.93341750851,107,-82,4973.119989395142,-68.2399730682373
2020-02-21,100009.486255727,107,-82,4944.839906692505,-78.47995567321777
2020-02-24,99963.29694071713,107,-82,4782.830055236816,-124.04995727539062
2020-02-25,99978.57658576212,0,0,0.0,0.0
2020-02-26,99975.50225574983,115,-88,4988.850061416626,-115.14993858337402
2020-02-27,100009.31258289158,115,-88,4839.82998085022,-81.12985801696777
2020-02-28,99976.1202927664,115,-88,4741.720109939575,-114.11991691589355
2020-03-02,99958.98154653344,115,-88,4827.260015487671,-130.65999794006348
2020-03-03,99965.69772208559,115,-88,4774.339914321899,-123.74007225036621
2020-03-04,99983.86654259269,115,-88,4882.470066070557,-105.36996078491211
2020-03-05,99952.2315396722,115,-88,4773.599948883057,-136.79998397827148
2020-03-06,99961.12987249586,115,-88,4677.1000118255615,-127.69985389709473
2020-03-09,99989.75742865114,115,-88,4109.680047988892,-98.47992515563965
2020-03-10,100110.16447714232,115,-88,4334.100061416626,22.100061416625977
2020-03-11,100031.95308926959,0,0,0.0,0.0
2020-03-12,100031.95308926959,0,0,0.0,0.0
2020-03-13,100031.95308926959,0,0,0.0,0.0
2020-03-16,100031.95308926959,0,0,0.0,0.0
2020-03-17,100028.88798207114,163,-124,4961.720002174377,110.8401346206665
2020-03-18,99842.35229685297,0,0,0.0,0.0
2020-03-19,99842.35229685297,0,0,0.0,0.0
2020-03-20,99842.35229685297,0,0,0.0,0.0
2020-03-23,99839.28313287714,189,-144,4964.579887390137,-118.62000274658158
2020-03-24,99808.92429089977,189,-144,5588.190075874329,-148.76994609832764
2020-03-25,99755.04843924541,189,-144,5868.629945755005,-202.41003227233887
2020-03-26,99784.4089355254,189,-144,6099.840156555176,-172.80004119873092
2020-03-27,99722.41121896263,189,-144,5715.539978027344,-234.53997802734375
2020-03-30,99878.72775732448,189,-144,6030.9898681640625,-77.4898681640625
2020-03-31,99743.32172612398,0,0,0.0,0.0
2020-04-01,99740.25503669091,161,-122,4952.9901485443115,-119.77007484436035
2020-04-02,99774.18666947917,161,-122,5079.850046157837,-85.62997245788574
2020-04-03,99684.01432172938,161,-122,4950.850015640259,-175.59004020690872
2020-04-06,99751.65227625746,161,-122,5285.080034255981,-107.32005882263184
2020-04-07,99659.46072009821,161,-122,5232.150046348572,-199.2900094985962
2020-04-08,99621.60758450507,161,-122,5311.640008926392,-236.91993522644043
2020-04-09,99712.64943606642,161,-122,5500.509790420532,-145.65006065368698
2020-04-13,99694.74121864226,161,-122,5498.1700439453125,-162.63014221191406
2020-04-14,99759.43861765561,161,-122,5616.77991104126,-97.70010757446289
2020-04-15,99724.00371421291,161,-122,5381.499923706055,-132.9001693725586
2020-04-16,99757.8519763745,0,0,0.0,0.0
2020-04-17,99757.8519763745,0,0,0.0,0.0
2020-04-20,99757.8519763745,0,0,0.0,0.0
2020-04-21,99754.78591588055,152,-115,4942.349973678589,-230.34997367858887
2020-04-22,99798.50334138291,152,-115,5108.18013381958,-186.41997146606445
2020-04-23,99772.73567954621,152,-115,5103.330093383789,-211.97004699706986
2020-04-24,99786.65728390546,152,-115,5186.469959259033,-197.83000564575195
2020-04-27,99771.54365225878,152,-115,5261.7200050354,-212.2798194885254
2020-04-28,99734.51850911201,152,-115,5298.520189285278,-249.08000373840332
2020-04-29,99701.00036631696,152,-115,5492.929977416992,-282.37016296386673
2020-04-30,99781.0132483751,152,-115,5382.28021812439,-202.11993980407715
2020-05-01,99713.68379978044,152,-115,5190.980054855347,-269.21989250183105
2020-05-04,99743.95054105518,152,-115,5272.519813537598,-238.27997589111328
2020-05-05,99745.3545167071,0,0,0.0,0.0
2020-05-06,99742.28723909822,144,-108,4948.560035705566,-222.4800796508789
2020-05-07,99759.35492011449,144,-108,5009.039978027344,-205.1998901367192
2020-05-08,99748.34059508557,144,-108,5088.9599533081055,-215.99993133544922
2020-05-11,99746.24645731186,144,-108,5104.799835205078,-217.44003295898483
2020-05-12,99738.46769941994,144,-108,4991.399848937988,-225.00006866455078
2020-05-13,99796.57328836844,144,-108,4915.8000411987305,-166.68010711669922
2020-05-14,99787.72463355465,144,-108,4933.080024719238,-175.31989288330078
2020-05-15,99799.03461966058,144,-108,4961.879928588867,-163.7999725341797
2020-05-18,99809.92253820667,144,-108,5163.480010986328,-152.28012084960892
2020-05-19,99793.50412350957,144,-108,5101.91983795166,-168.4800796508789
2020-05-20,99833.37016574702,0,0,0.0,0.0
2020-05-21,99833.37016574702,0,0,0.0,0.0
2020-05-22,99833.37016574702,0,0,0.0,0.0
2020-05-26,99833.37016574702,0,0,0.0,0.0
2020-05-27,99833.37016574702,0,0,0.0,0.0
2020-05-28,99833.37016574702,0,0,0.0,0.0
2020-05-29,99833.37016574702,0,0,0.0,0.0
2020-06-01,99833.37016574702,0,0,0.0,0.0
2020-06-02,99833.37016574702,0,0,0.0,0.0
2020-06-03,99833.37016574702,0,0,0.0,0.0
2020-06-04,99830.30250134147,-126,94,4964.480014801025,-20.080158233642578
2020-06-05,99822.21790329006,-126,94,5092.680011749268,-27.959911346435547
2020-06-08,99810.7065866359,-126,94,5167.4800453186035,-38.83991622924805
2020-06-09,99830.47266215584,-126,94,5096.7399253845215,-18.859882354736328
2020-06-10,99807.38244621742,-126,94,5076.379997253418,-41.7398681640625
2020-06-11,99846.3719111083,-126,94,4747.660026550293,-2.540069580078125
2020-06-12,99843.43669954196,-126,94,4833.1201248168945,-5.280067443847656
2020-06-15,99831.00817758331,-126,94,4827.780002593994,-5.580074310302734
2020-06-16,99834.74964034141,-126,94,4882.1198081970215,-1.6399803161621094
2020-06-17,99820.46891316511,-126,94,4860.480091094971,-15.72000503540039
2020-06-18,99834.52516933582,0,0,0.0,0.0
2020-06-19,99834.52516933582,0,0,0.0,0.0
2020-06-22,99834.52516933582,0,0,0.0,0.0
2020-06-23,99834.52516933582,0,0,0.0,0.0
2020-06-24,99834.52516933582,0,0,0.0,0.0
2020-06-25,99834.52516933582,0,0,0.0,0.0
2020-06-26,99834.52516933582,0,0,0.0,0.0
2020-06-29,99834.52516933582,0,0,0.0,0.0
2020-06-30,99834.52516933582,0,0,0.0,0.0
2020-07-01,99834.52516933582,0,0,0.0,0.0
2020-07-02,99834.52516933582,0,0,0.0,0.0
2020-07-06,99831.45716834198,-126,94,4964.839962005615,-37.36013412475586
2020-07-07,99845.55174267058,-126,94,4903.539817810059,-23.05998992919922
2020-07-08,99858.78922870042,-126,94,4929.580055236816,-9.620040893554688
2020-07-09,99857.14627213603,-126,94,4880.2599449157715,-11.060016632080078
2020-07-10,99855.54541004893,-126,94,4934.299922943115,-12.45986557006836
2020-07-13,99875.17539608912,-126,94,4883.980091094971,7.779994964599609
2020-07-14,99885.43512927383,-126,94,4967.519966125488,18.240119934081577
2020-07-15,99866.77161687157,-126,94,5057.419925689697,-0.21999740600585938
2020-07-16,99885.22383335282,-126,94,5010.55993270874,18.440067291259766
2020-07-17,99883.37852194968,-126,94,5036.639930725098,16.799911499023438
2020-07-20,99885.57083336491,0,0,0.0,0.0
2020-07-21,99885.57083336491,0,0,0.0,0.0
2020-07-22,99885.57083336491,0,0,0.0,0.0
2020-07-23,99885.57083336491,0,0,0.0,0.0
2020-07-24,99885.57083336491,0,0,0.0,0.0
2020-07-27,99885.57083336491,0,0,0.0,0.0
2020-07-28,99885.57083336491,0,0,0.0,0.0
2020-07-29,99885.57083336491,0,0,0.0,0.0
2020-07-30,99885.57083336491,0,0,0.0,0.0
2020-07-31,99885.57083336491,0,0,0.0,0.0
2020-08-03,99885.57083336491,0,0,0.0,0.0
2020-08-04,99885.57083336491,0,0,0.0,0.0
2020-08-05,99885.57083336491,0,0,0.0,0.0
2020-08-06,99885.57083336491,0,0,0.0,0.0
2020-08-07,99885.57083336491,0,0,0.0,0.0
2020-08-10,99885.57083336491,0,0,0.0,0.0
2020-08-11,99885.57083336491,0,0,0.0,0.0
2020-08-12,99885.57083336491,0,0,0.0,0.0
2020-08-13,99885.57083336491,0,0,0.0,0.0
2020-08-14,99885.57083336491,0,0,0.0,0.0
2020-08-17,99885.57083336491,0,0,0.0,0.0
2020-08-18,99885.57083336491,0,0,0.0,0.0
2020-08-19,99885.57083336491,0,0,0.0,0.0
2020-08-20,99885.57083336491,0,0,0.0,0.0
2020-08-21,99885.57083336491,0,0,0.0,0.0
2020-08-24,99885.57083336491,0,0,0.0,0.0
2020-08-25,99885.57083336491,0,0,0.0,0.0
2020-08-26,99885.57083336491,0,0,0.0,0.0
2020-08-27,99885.57083336491,0,0,0.0,0.0
2020-08-28,99885.57083336491,0,0,0.0,0.0
2020-08-31,99885.57083336491,0,0,0.0,0.0
2020-09-01,99885.57083336491,0,0,0.0,0.0
2020-09-02,99885.57083336491,0,0,0.0,0.0
2020-09-03,99885.57083336491,0,0,0.0,0.0
2020-09-04,99885.57083336491,0,0,0.0,0.0
2020-09-08,99885.57083336491,0,0,0.0,0.0
2020-09-09,99885.57083336491,0,0,0.0,0.0
2020-09-10,99885.57083336491,0,0,0.0,0.0
2020-09-11,99885.57083336491,0,0,0.0,0.0
2020-09-14,99885.57083336491,0,0,0.0,0.0
2020-09-15,99885.57083336491,0,0,0.0,0.0
2020-09-16,99885.57083336491,0,0,0.0,0.0
2020-09-17,99885.57083336491,0,0,0.0,0.0
2020-09-18,99885.57083336491,0,0,0.0,0.0
2020-09-21,99885.57083336491,0,0,0.0,0.0
2020-09-22,99885.57083336491,0,0,0.0,0.0
2020-09-23,99885.57083336491,0,0,0.0,0.0
2020-09-24,99885.57083336491,0,0,0.0,0.0
2020-09-25,99885.57083336491,0,0,0.0,0.0
2020-09-28,99885.57083336491,0,0,0.0,0.0
2020-09-29,99885.57083336491,0,0,0.0,0.0
2020-09-30,99885.57083336491,0,0,0.0,0.0
2020-10-01,99885.57083336491,0,0,0.0,0.0
2020-10-02,99885.57083336491,0,0,0.0,0.0
2020-10-05,99885.57083336491,0,0,0.0,0.0
2020-10-06,99885.57083336491,0,0,0.0,0.0
2020-10-07,99885.57083336491,0,0,0.0,0.0
2020-10-08,99885.57083336491,0,0,0.0,0.0
2020-10-09,99885.57083336491,0,0,0.0,0.0
2020-10-12,99885.57083336491,0,0,0.0,0.0
2020-10-13,99885.57083336491,0,0,0.0,0.0
2020-10-14,99885.57083336491,0,0,0.0,0.0
2020-10-15,99885.57083336491,0,0,0.0,0.0
2020-10-16,99885.57083336491,0,0,0.0,0.0
2020-10-19,99885.57083336491,0,0,0.0,0.0
2020-10-20,99885.57083336491,0,0,0.0,0.0
2020-10-21,99885.57083336491,0,0,0.0,0.0
2020-10-22,99885.57083336491,0,0,0.0,0.0
2020-10-23,99885.57083336491,0,0,0.0,0.0
2020-10-26,99885.57083336491,0,0,0.0,0.0
2020-10-27,99885.57083336491,0,0,0.0,0.0
2020-10-28,99885.57083336491,0,0,0.0,0.0
2020-10-29,99885.57083336491,0,0,0.0,0.0
2020-10-30,99885.57083336491,0,0,0.0,0.0
2020-11-02,99885.57083336491,0,0,0.0,0.0
2020-11-03,99885.57083336491,0,0,0.0,0.0
2020-11-04,99882.49886155938,-122,90,4984.160015106201,-25.160152435302734
2020-11-05,99860.85299664534,-122,90,5126.200031280518,-46.600154876708984
2020-11-06,99854.8605162186,-122,90,5130.179889678955,-52.38005447387695
2020-11-09,99791.34159992152,-122,90,5272.259956359863,-115.26002502441406
2020-11-10,99821.5201431109,-122,90,5290.460090637207,-84.86007690429688
2020-11-11,99802.69940128554,-122,90,5345.0600662231445,-103.45991516113281
2020-11-12,99811.41538895006,-122,90,5251.519947052002,-94.52001571655273
2020-11-13,99789.6357216366,-122,90,5298.28014755249,-116.07998275756836
2020-11-16,99795.50807663014,-122,90,5385.340007781982,-109.54010391235352
2020-11-17,99803.00249737118,-122,90,5402.8200035095215,-101.81986618041992
2020-11-18,99788.75704736896,0,0,0.0,0.0
2020-11-19,99785.69758336691,-110,82,4921.780006408691,-85.4200439453125
2020-11-20,99791.75200470816,-110,82,4936.839984893799,-79.15984725952148
2020-11-23,99805.61345598308,-110,82,4953.5198974609375,-64.67998504638672
2020-11-24,99782.0472241656,-110,82,5062.1599769592285,-88.03998947143555
2020-11-25,99785.37549673376,-110,82,5070.100002288818,-84.50006484985352
2020-11-27,99807.451979748,-110,82,5063.99991607666,-61.999916076660156
2020-11-30,99852.58005507855,-110,82,4982.159980773926,-16.2398681640625
2020-12-01,99816.81456371889,-110,82,5045.600070953369,-51.79994583129883
2020-12-02,99823.9249896685,-110,82,5072.720012664795,-44.480037689208984
2020-12-03,99828.8347079667,-110,82,5102.0401611328125,-39.360023498535156
2020-12-04,99842.05387473207,0,0,0.0,0.0
2020-12-07,99842.05387473207,0,0,0.0,0.0
2020-12-08,99842.05387473207,0,0,0.0,0.0
2020-12-09,99842.05387473207,0,0,0.0,0.0
2020-12-10,99842.05387473207,0,0,0.0,0.0
2020-12-11,99842.05387473207,0,0,0.0,0.0
2020-12-14,99842.05387473207,0,0,0.0,0.0
2020-12-15,99842.05387473207,0,0,0.0,0.0
2020-12-16,99842.05387473207,0,0,0.0,0.0
2020-12-17,99838.98410991135,-104,78,4969.900089263916,-82.42010116577148
2020-12-18,99842.6765695784,-104,78,4911.399940490723,-78.52001190185547
2020-12-21,99843.88146521538,-104,78,4873.699920654297,-76.69992065429688
2020-12-22,99856.15791304203,-104,78,4854.979888916016,-64.22003173828125
2020-12-23,99843.2157600921,-104,78,4900.480037689209,-76.96002578735352
2020-12-24,99852.8911363496,-104,78,4912.440013885498,-67.08009719848633
2020-12-28,99824.25279139729,-104,78,4907.499950408936,-94.8998908996582
2020-12-29,99839.64722323984,-104,78,4904.379928588867,-79.29988098144531
2020-12-30,99835.28222008357,-104,78,4927.259956359863,-83.46007537841797
2020-12-31,99833.25630801683,-104,78,4896.320091247559,-85.28006744384766
2021-01-04,99828.86256490542,0,0,0.0,0.0
2021-01-05,99828.86256490542,0,0,0.0,0.0
2021-01-06,99828.86256490542,0,0,0.0,0.0
2021-01-07,99828.86256490542,0,0,0.0,0.0
2021-01-08,99828.86256490542,0,0,0.0,0.0
2021-01-11,99828.86256490542,0,0,0.0,0.0
2021-01-12,99828.86256490542,0,0,0.0,0.0
2021-01-13,99828.86256490542,0,0,0.0,0.0
2021-01-14,99828.86256490542,0,0,0.0,0.0
2021-01-15,99828.86256490542,0,0,0.0,0.0
2021-01-19,99828.86256490542,0,0,0.0,0.0
2021-01-20,99828.86256490542,0,0,0.0,0.0
2021-01-21,99828.86256490542,0,0,0.0,0.0
2021-01-22,99828.86256490542,0,0,0.0,0.0
2021-01-25,99825.8057289229,-100,76,4909.479919433594,-86.51998901367188
2021-01-26,99815.24046665359,-100,76,4903.120063781738,-96.87993621826172
2021-01-27,99820.19502901062,-100,76,4770.279998779297,-91.71989440917969
2021-01-28,99830.35511459465,-100,76,4814.639907836914,-81.36000061035111
2021-01-29,99862.11393872101,-100,76,4700.600028991699,-49.39997100830078
2021-02-01,99846.36834913812,-100,76,4767.44002532959,-64.55994415283203
2021-02-02,99857.96979210745,-100,76,4839.239891052246,-52.759925842285156
2021-02-03,99856.12875925883,-100,76,4857.5999755859375,-54.39991760253906
2021-02-04,99866.04683796095,-100,76,4865.719871520996,-44.27997589111328
2021-02-05,99864.16515602225,-100,76,4916.040016174316,-45.959877014160156
2021-02-08,99874.40603215361,0,0,0.0,0.0
2021-02-09,99874.40603215361,0,0,0.0,0.0
2021-02-10,99874.40603215361,0,0,0.0,0.0
2021-02-11,99874.40603215361,0,0,0.0,0.0
2021-02-12,99874.40603215361,0,0,0.0,0.0
2021-02-16,99874.40603215361,0,0,0.0,0.0
2021-02-17,99874.40603215361,0,0,0.0,0.0
2021-02-18,99874.40603215361,0,0,0.0,0.0
2021-02-19,99874.40603215361,0,0,0.0,0.0
2021-02-22,99874.40603215361,0,0,0.0,0.0
2021-02-23,99874.40603215361,0,0,0.0,0.0
2021-02-24,99874.40603215361,0,0,0.0,0.0
2021-02-25,99874.40603215361,0,0,0.0,0.0
2021-02-26,99874.40603215361,0,0,0.0,0.0
2021-03-01,99874.40603215361,0,0,0.0,0.0
2021-03-02,99874.40603215361,0,0,0.0,0.0
2021-03-03,99874.40603215361,0,0,0.0,0.0
2021-03-04,99874.40603215361,0,0,0.0,0.0
2021-03-05,99874.40603215361,0,0,0.0,0.0
2021-03-08,99874.40603215361,0,0,0.0,0.0
2021-03-09,99871.34698213881,97,-74,4923.400074005127,-34.59992599487305
2021-03-10,99833.98303050248,97,-74,4921.760124206543,-71.76012420654297
2021-03-11,99811.5079256027,97,-74,4980.890119552612,-94.03001594543457
2021-03-12,99792.38935785681,97,-74,4990.099906921387,-112.94002532958939
2021-03-15,99783.2401182148,97,-74,5014.139989852905,-121.46012306213379
2021-03-16,99782.84910590452,97,-74,5006.56014251709,-121.64008331298828
2021-03-17,99766.02849848349,97,-74,5032.869853973389,-138.24994277954102
2021-03-18,99763.83606346273,97,-74,4949.490043640137,-140.22986602783203
2021-03-19,99752.21667960595,97,-74,4939.56014251709,-151.64008331298828
2021-03-22,99780.88901569687,97,-74,4945.1801834106445,-122.34006500244186
2021-03-23,99775.68186877937,0,0,0.0,0.0
2021-03-24,99772.61189175071,99,-75,4968.960136413574,-110.03995513916016
2021-03-25,99786.56296911006,99,-75,4972.619985580444,-95.88015174865723
2021-03-26,99803.18483091016,99,-75,5038.949844360352,-79.04999542236328
2021-03-29,99796.16378992579,99,-75,5023.56015586853,-85.44005012512207
2021-03-30,99785.66397314884,99,-75,4992.269817352295,-95.72990798950195
2021-03-31,99781.64493311688,99,-75,5007.960033416748,-99.53985214233398
2021-04-01,99770.84485069591,99,-75,5085.869871139526,-110.13003730773926
2021-04-05,99795.88069404082,99,-75,5131.260011672974,-84.24005699157715
2021-04-06,99776.16633553339,99,-75,5101.260034561157,-103.74007987976074
2021-04-07,99782.88240120669,99,-75,5108.190004348755,-96.81011009216309
2021-04-08,99776.89405095467,0,0,0.0,0.0
2021-04-09,99773.82841175102,95,-72,4949.440021514893,-100.63993453979492
2021-04-12,99774.24572949733,95,-72,4933.200105667114,-99.60000419616699
2021-04-13,99775.12870197653,95,-72,4953.010059356689,-98.51020431518555
2021-04-14,99793.92117773261,95,-72,4972.0101318359375,-79.5101318359375
2021-04-15,99823.47372428948,95,-72,5033.449901580811,-49.7499885559082
2021-04-16,99820.35475905924,95,-72,5042.060098648071,-52.66005516052246
2021-04-19,99826.09669521353,95,-72,5010.98984336853,-46.29000282287598
2021-04-20,99824.46881784989,95,-72,4917.409887313843,-47.71004676818848
2021-04-21,99826.92488802088,95,-72,5002.149959564209,-45.049930572509766
2021-04-22,99827.1274286404,95,-72,4969.439985275269,-44.639970779418945
2021-04-23,99839.12363150886,0,0,0.0,0.0
2021-04-26,99839.12363150886,0,0,0.0,0.0
2021-04-27,99839.12363150886,0,0,0.0,0.0
2021-04-28,99839.12363150886,0,0,0.0,0.0
2021-04-29,99839.12363150886,0,0,0.0,0.0
2021-04-30,99839.12363150886,0,0,0.0,0.0
2021-05-03,99839.12363150886,0,0,0.0,0.0
2021-05-04,99839.12363150886,0,0,0.0,0.0
2021-05-05,99839.12363150886,0,0,0.0,0.0
2021-05-06,99839.12363150886,0,0,0.0,0.0
2021-05-07,99839.12363150886,0,0,0.0,0.0
2021-05-10,99839.12363150886,0,0,0.0,0.0
2021-05-11,99839.12363150886,0,0,0.0,0.0
2021-05-12,99839.12363150886,0,0,0.0,0.0
2021-05-13,99839.12363150886,0,0,0.0,0.0
2021-05-14,99839.12363150886,0,0,0.0,0.0
2021-05-17,99836.06058991645,91,-68,4935.869976043701,-121.9698371887207
2021-05-18,99824.49264704472,91,-68,4932.670076370239,-133.32992362976074
2021-05-19,99806.2242612484,91,-68,4867.010089874268,-151.39011764526367
2021-05-20,99833.4282162057,91,-68,4954.260093688965,-123.97992706298828
2021-05-21,99814.77931678997,91,-68,4929.019992828369,-142.4201316833496
2021-05-24,99811.7240570906,91,-68,4966.030103683472,-144.85014533996582
2021-05-25,99833.97397231674,91,-68,4954.4900550842285,-122.39019393920898
2021-05-26,99823.80562423493,91,-68,4971.729930877686,-132.34990310668945
2021-05-27,99818.20565642408,91,-68,5004.420072555542,-137.74011421203613
2021-05-28,99813.91450078819,91,-68,5008.499906539917,-141.81994819641113
2021-06-01,99803.22705614612,0,0,0.0,0.0
2021-06-02,99800.16414051266,89,-66,4936.200155258179,-108.84000587463379
2021-06-03,99801.09692392564,89,-66,4903.019987106323,-107.69989204406738
2021-06-04,99823.5508817077,89,-66,4958.679864883423,-85.04001426696777
2021-06-07,99817.81898013985,89,-66,4954.890073776245,-90.15008735656738
2021-06-08,99824.47193262022,89,-66,4955.149953842163,-83.28980445861816
2021-06-09,99812.34473223197,89,-66,4920.790054321289,-95.20994567871139
2021-06-10,99829.90463179047,89,-66,4903.309949874878,-95.52990913391113
2021-06-11,99831.21910892047,89,-66,4898.229959487915,-94.01000022888184
2021-06-14,99824.72344883006,89,-66,4914.790042877197,-99.89017868041992
2021-06-15,99818.97753491973,89,-66,4913.210050582886,-105.43000984191895
2021-06-16,99822.20248547188,0,0,0.0,0.0
2021-06-17,99822.20248547188,0,0,0.0,0.0
2021-06-18,99822.20248547188,0,0,0.0,0.0
2021-06-21,99822.20248547188,0,0,0.0,0.0
2021-06-22,99822.20248547188,0,0,0.0,0.0
2021-06-23,99822.20248547188,0,0,0.0,0.0
2021-06-24,99822.20248547188,0,0,0.0,0.0
2021-06-25,99822.20248547188,0,0,0.0,0.0
2021-06-28,99822.20248547188,0,0,0.0,0.0
2021-06-29,99822.20248547188,0,0,0.0,0.0
2021-06-30,99822.20248547188,0,0,0.0,0.0
2021-07-01,99822.20248547188,0,0,0.0,0.0
2021-07-02,99819.14144716243,92,-67,4927.010036468506,-115.41010665893555
2021-07-06,99805.54258242511,92,-67,4875.379940032959,-128.18008041381836
2021-07-07,99839.80709140595,92,-67,4892.429931640625,-93.70994567871094
2021-07-08,99838.31213485608,92,-67,4820.120048522949,-94.99999237060547
2021-07-09,99839.73032565888,92,-67,4899.459964752197,-93.37981033325195
2021-07-12,99836.10457338438,92,-67,4895.109992980957,-96.39000701904297
2021-07-13,99830.1394067789,92,-67,4873.270099639893,-102.15004348754883
2021-07-14,99853.20516679755,92,-67,4868.399940490723,-78.87981414794922
2021-07-15,99837.6837549155,0,0,0.0,0.0
2021-07-16,99837.6837549155,0,0,0.0,0.0
2021-07-19,99837.6837549155,0,0,0.0,0.0
2021-07-20,99837.6837549155,0,0,0.0,0.0
2021-07-21,99837.6837549155,0,0,0.0,0.0
2021-07-22,99837.6837549155,0,0,0.0,0.0
2021-07-23,99837.6837549155,0,0,0.0,0.0
2021-07-26,99837.6837549155,0,0,0.0,0.0
2021-07-27,99837.6837549155,0,0,0.0,0.0
2021-07-28,99837.6837549155,0,0,0.0,0.0
2021-07-29,99837.6837549155,0,0,0.0,0.0
2021-07-30,99837.6837549155,0,0,0.0,0.0
2021-08-02,99837.6837549155,0,0,0.0,0.0
2021-08-03,99837.6837549155,0,0,0.0,0.0
2021-08-04,99837.6837549155,0,0,0.0,0.0
2021-08-05,99837.6837549155,0,0,0.0,0.0
2021-08-06,99837.6837549155,0,0,0.0,0.0
2021-08-09,99837.6837549155,0,0,0.0,0.0
2021-08-10,99837.6837549155,0,0,0.0,0.0
2021-08-11,99837.6837549155,0,0,0.0,0.0
2021-08-12,99837.6837549155,0,0,0.0,0.0
2021-08-13,99837.6837549155,0,0,0.0,0.0
2021-08-16,99837.6837549155,0,0,0.0,0.0
2021-08-17,99837.6837549155,0,0,0.0,0.0
2021-08-18,99837.6837549155,0,0,0.0,0.0
2021-08-19,99837.6837549155,0,0,0.0,0.0
2021-08-20,99837.6837549155,0,0,0.0,0.0
2021-08-23,99837.6837549155,0,0,0.0,0.0
2021-08-24,99837.6837549155,0,0,0.0,0.0
2021-08-25,99837.6837549155,0,0,0.0,0.0
