date,signal_date,event,delta_qx,delta_qy,qx,qy,px,py,commission,slippage
2017-02-16,2017-02-15,ENTRY,-107,93,-107,93,22.280000686645508,27.84000015258789,2.0715188022041318,0.9946160175323486
2017-03-03,2017-03-02,EXIT,107,-93,0,0,21.979999542236328,26.84000015258789,2.07488360042572,0.9695959930419922
2017-03-06,2017-03-03,ENTRY,-113,93,-113,93,21.920000076293945,26.8799991607666,2.0743088002586365,0.9953599861145019
2017-03-20,2017-03-17,EXIT,113,-93,0,0,22.530000686645508,26.61000061035156,2.074241901702881,1.0041240268707274
2017-03-21,2017-03-20,ENTRY,-105,98,-105,98,22.219999313354492,26.309999465942383,2.0699929978370664,0.982295975112915
2017-04-04,2017-04-03,EXIT,105,-98,0,0,22.479999542236328,26.8799991607666,2.0790271975326537,0.9989279739379883
2019-05-24,2019-05-23,ENTRY,-98,102,-98,102,22.030000686645508,27.829999923706055,2.0647682020187377,0.9995200119018555
2019-06-10,2019-06-07,EXIT,98,-102,0,0,22.350000381469727,28.200000762939453,2.0862920023345946,1.0133400230407714
2019-06-12,2019-06-11,ENTRY,-98,98,-98,98,22.350000381469727,28.0,2.065709001121521,0.9868600074768066
2019-06-26,2019-06-25,EXIT,98,-98,0,0,22.440000534057617,28.469999313354492,2.083701797981262,0.9978359970092773
2019-06-27,2019-06-26,ENTRY,-101,95,-101,95,22.59000015258789,28.479999542236328,2.0684477004623414,0.9974379943847655
2019-07-12,2019-07-11,EXIT,101,-95,0,0,22.61000061035156,28.989999771118164,2.082621499347687,1.0075320079803465
2019-07-26,2019-07-25,ENTRY,-98,96,-98,96,22.68000030517578,28.700000762939453,2.066679200897217,0.9955680206298829
2019-08-06,2019-08-05,EXIT,98,-96,0,0,21.239999771118164,27.63999938964844,2.0796031982421876,0.9469919837951661
2019-11-14,2019-11-13,ENTRY,92,-97,92,-97,22.61000061035156,29.549999237060547,2.085990497779846,0.9892939964294434
2019-11-29,2019-11-27,EXIT,-92,97,0,0,22.829999923706055,29.6299991607666,2.0630107997894287,0.9948939823150635
2019-12-04,2019-12-03,ENTRY,89,-102,89,-102,22.5,29.43000030517578,2.090055800933838,1.000872006225586
2019-12-17,2019-12-16,EXIT,-89,102,0,0,22.61000061035156,29.549999237060547,2.0603687016296384,1.0052779953002928
