date,last_label_index,last_label_maturity,samples,intercept,kalman_z
2016-05-02,323,2016-05-02,198,0.0,0.0
2016-06-01,344,2016-06-01,219,0.0,0.0
2016-07-01,366,2016-07-01,241,0.0,0.0
2016-08-01,386,2016-08-01,252,0.0,0.0
2016-09-01,409,2016-09-01,252,0.0,0.0
2016-10-03,430,2016-10-03,252,0.0,0.0
2016-11-01,451,2016-11-01,252,0.0,-8.348038230726354e-05
2016-12-01,472,2016-12-01,252,0.0,-0.0002261506176287084
2017-01-03,493,2017-01-03,252,0.0,-0.0013527561164366714
2017-02-01,513,2017-02-01,252,0.0,-0.0019038126516493369
2017-03-01,532,2017-03-01,252,0.0,-0.0012283672474492054
2017-04-03,555,2017-04-03,252,0.0,-0.0003494006033515862
2017-05-01,574,2017-05-01,252,0.0,-0.00037604156396539064
2017-06-01,596,2017-06-01,252,0.0,-0.0005699901143105032
2017-07-03,618,2017-07-03,252,0.0,-0.000704775162772717
2017-08-01,638,2017-08-01,252,0.0,-0.0006396747422584054
2017-09-01,661,2017-09-01,252,0.0,-0.000465150311103545
2017-10-02,681,2017-10-02,252,0.0,0.0
2017-11-01,703,2017-11-01,252,0.0,0.0
2017-12-01,724,2017-12-01,252,0.0,0.0
2018-01-02,744,2018-01-02,252,0.0,0.0
2018-02-01,765,2018-02-01,252,0.0,0.0
2018-03-01,784,2018-03-01,252,0.0,0.0
2018-04-02,805,2018-04-02,252,0.0,0.0
2018-05-01,826,2018-05-01,252,0.0,-7.225963812654237e-05
2018-06-01,848,2018-06-01,252,0.0,0.0
2018-07-02,869,2018-07-02,252,0.0,-1.733012600298761e-05
2018-08-01,890,2018-08-01,252,0.0,-1.7651065968512463e-05
2018-09-04,913,2018-09-04,252,0.0,0.0
2018-10-01,932,2018-10-01,252,0.0,-0.00022956597567712792
2018-11-01,955,2018-11-01,252,0.0,-0.0003812601709240086
2018-12-03,976,2018-12-03,252,0.0,-0.0005938753216940377
2019-01-02,995,2019-01-02,252,0.0,-0.00016164570507056443
2019-02-01,1016,2019-02-01,252,0.0,-0.0007127859883218562
2019-03-01,1035,2019-03-01,252,0.0,-0.0010568595850399271
2019-04-01,1056,2019-04-01,252,0.0,-0.0012672404703802137
2019-05-01,1077,2019-05-01,252,0.0,-0.0011865332433841742
2019-06-03,1099,2019-06-03,252,0.0,-0.0014228272700330163
2019-07-01,1119,2019-07-01,252,0.0,-0.0012722244016711685
2019-08-01,1141,2019-08-01,252,0.0,-0.0011816819847557112
2019-09-03,1163,2019-09-03,252,0.0,-0.0013676857043514452
2019-10-01,1183,2019-10-01,252,0.0,-0.0014973239433791444
2019-11-01,1206,2019-11-01,252,0.0,-0.0015408432426462823
2019-12-02,1226,2019-12-02,252,0.0,-0.0014595973944283584
2020-01-02,1247,2020-01-02,252,0.0,-0.00176682660875948
2020-02-03,1268,2020-02-03,252,0.0,-0.0011445721836867333
2020-03-02,1287,2020-03-02,252,0.0,-0.0009072141954703737
2020-04-01,1309,2020-04-01,252,0.0,-0.0027922175177035585
2020-05-01,1330,2020-05-01,252,0.0,-0.0017458285526111943
2020-06-01,1350,2020-06-01,252,0.0,-0.0016595482818864554
2020-07-01,1372,2020-07-01,252,0.0,-0.0016183283801243253
2020-08-03,1394,2020-08-03,252,0.0,-0.0017864370334641022
2020-09-01,1415,2020-09-01,252,0.0,-0.0017921545227241114
2020-10-01,1436,2020-10-01,252,0.0,-0.0017736794976987926
2020-11-02,1458,2020-11-02,252,0.0,-0.0016563845947248632
2020-12-01,1478,2020-12-01,252,0.0,-0.0014336764708099423
2021-01-04,1500,2021-01-04,252,0.0,-0.0016411111867585502
2021-02-01,1519,2021-02-01,252,0.0,-0.0016458653141385204
2021-03-01,1538,2021-03-01,252,0.0,-0.0019992173177070817
2021-04-01,1561,2021-04-01,252,0.0,-0.00016063531940234714
2021-05-03,1582,2021-05-03,252,0.0,-0.0011123341610739619
2021-06-01,1602,2021-06-01,252,0.0,-0.0005613051105313307
2021-07-01,1624,2021-07-01,252,0.0,-0.0005579135917268276
2021-08-02,1645,2021-08-02,252,0.0,-0.0004418348394881297
2021-09-01,1667,2021-09-01,252,0.0,-0.00029054004307521624
2021-10-01,1688,2021-10-01,252,0.0,-0.0003507779085790453
2021-11-01,1709,2021-11-01,252,0.0,-0.0003077729954112716
2021-12-01,1730,2021-12-01,252,0.0,-0.0001816546819002573
2022-01-03,1752,2022-01-03,252,0.0,-0.00030802304967217034
2022-02-01,1772,2022-02-01,252,0.0,-0.0004475982240601946
2022-03-01,1791,2022-03-01,252,0.0,-0.0006900097687917141
2022-04-01,1814,2022-04-01,252,0.0,-0.000643682653792283
2022-05-02,1834,2022-05-02,252,0.0,-0.0001901230348380687
2022-06-01,1855,2022-06-01,252,0.0,-0.0005633787511812409
2022-07-01,1876,2022-07-01,252,0.0,-0.0007605723530453267
2022-08-01,1896,2022-08-01,252,0.0,-0.0006739066965915759
2022-09-01,1919,2022-09-01,252,0.0,-0.0006929172636026268
2022-10-03,1940,2022-10-03,252,0.0,-0.0007373021615952778
2022-11-01,1961,2022-11-01,252,0.0,-0.0008639404150825352
2022-12-01,1982,2022-12-01,252,0.0,-0.0012471402736078227
2023-01-03,2003,2023-01-03,252,0.0,-0.00019748268583658386
2023-02-01,2023,2023-02-01,252,0.0,0.0
