date,equity,qx,qy,gross,net
2023-01-03,100000.0,0,0,0.0,0.0
2023-01-04,100000.0,0,0,0.0,0.0
2023-01-05,100000.0,0,0,0.0,0.0
2023-01-06,100000.0,0,0,0.0,0.0
2023-01-09,99992.04499103273,-443,288,19971.030321121216,-415.8298816680908
2023-01-10,99960.63647516824,-443,288,19967.040229797363,-446.4005813598633
2023-01-11,99921.71787761588,-443,288,20212.480270385742,-484.48027038574037
2023-01-12,99842.25784150418,-443,288,20550.290185928345,-563.0897464752197
2023-01-13,99793.33020894465,-443,288,20661.710496902466,-611.1497058868408
2023-01-17,99776.99359781196,-443,288,20755.189847946167,-623.989408493042
2023-01-18,99783.40453501928,-443,288,20523.260665893555,-616.6998748779279
2023-01-19,99711.21557336586,-443,288,20629.139455795288,-688.0200710296631
2023-01-20,99706.819529071,-443,288,20909.13918876648,-691.5400676727295
2023-01-23,99695.08736462708,-443,288,21050.690189361572,-700.6091346740723
2023-01-24,99655.00617445554,0,0,0.0,0.0
2023-01-25,99647.28177542219,-415,272,19899.46012878418,-734.3403778076154
2023-01-26,99686.11370832616,-415,272,20071.93989944458,-694.6604804992676
2023-01-27,99732.06004721121,-415,272,20052.339723587036,-647.8607196807861
2023-01-30,99705.41867327092,-415,272,19820.750429153442,-671.9500141143799
2023-01-31,99805.38676636464,-415,272,20062.660751342773,-571.1397552490216
2023-02-01,99696.63870697429,-415,272,20170.560846328735,-679.0398502349854
2023-02-02,99743.28137815831,-415,272,20068.660097122192,-631.5403461456299
2023-02-03,99855.46087068887,-415,272,19841.390409469604,-518.510160446167
2023-02-06,99842.32151355446,-415,272,19639.85997390747,-529.1393928527832
2023-02-07,99847.97178798744,-415,272,19845.540504455566,-522.6602554321289
2023-02-08,99855.76129229783,0,0,0.0,0.0
2023-02-09,99855.76129229783,0,0,0.0,0.0
2023-02-10,99855.76129229783,0,0,0.0,0.0
2023-02-13,99855.76129229783,0,0,0.0,0.0
2023-02-14,99855.76129229783,0,0,0.0,0.0
2023-02-15,99855.76129229783,0,0,0.0,0.0
2023-02-16,99855.76129229783,0,0,0.0,0.0
2023-02-17,99855.76129229783,0,0,0.0,0.0
2023-02-21,99855.76129229783,0,0,0.0,0.0
2023-02-22,99855.76129229783,0,0,0.0,0.0
2023-02-23,99855.76129229783,0,0,0.0,0.0
2023-02-24,99855.76129229783,0,0,0.0,0.0
2023-02-27,99855.76129229783,0,0,0.0,0.0
2023-02-28,99855.76129229783,0,0,0.0,0.0
2023-03-01,99855.76129229783,0,0,0.0,0.0
2023-03-02,99855.76129229783,0,0,0.0,0.0
2023-03-03,99855.76129229783,0,0,0.0,0.0
2023-03-06,99855.76129229783,0,0,0.0,0.0
2023-03-07,99855.76129229783,0,0,0.0,0.0
2023-03-08,99855.76129229783,0,0,0.0,0.0
2023-03-09,99855.76129229783,0,0,0.0,0.0
2023-03-10,99855.76129229783,0,0,0.0,0.0
2023-03-13,99855.76129229783,0,0,0.0,0.0
2023-03-14,99855.76129229783,0,0,0.0,0.0
2023-03-15,99855.76129229783,0,0,0.0,0.0
2023-03-16,99855.76129229783,0,0,0.0,0.0
2023-03-17,99855.76129229783,0,0,0.0,0.0
2023-03-20,99855.76129229783,0,0,0.0,0.0
2023-03-21,99855.76129229783,0,0,0.0,0.0
2023-03-22,99855.76129229783,0,0,0.0,0.0
2023-03-23,99855.76129229783,0,0,0.0,0.0
2023-03-24,99855.76129229783,0,0,0.0,0.0
2023-03-27,99855.76129229783,0,0,0.0,0.0
2023-03-28,99855.76129229783,0,0,0.0,0.0
2023-03-29,99855.76129229783,0,0,0.0,0.0
2023-03-30,99855.76129229783,0,0,0.0,0.0
2023-03-31,99855.76129229783,0,0,0.0,0.0
2023-04-03,99855.76129229783,0,0,0.0,0.0
2023-04-04,99855.76129229783,0,0,0.0,0.0
2023-04-05,99855.76129229783,0,0,0.0,0.0
2023-04-06,99855.76129229783,0,0,0.0,0.0
2023-04-10,99855.76129229783,0,0,0.0,0.0
2023-04-11,99855.76129229783,0,0,0.0,0.0
2023-04-12,99855.76129229783,0,0,0.0,0.0
2023-04-13,99855.76129229783,0,0,0.0,0.0
2023-04-14,99855.76129229783,0,0,0.0,0.0
2023-04-17,99847.95893374231,422,-282,19909.719848632812,-117.91920471191406
2023-04-18,99863.9551931319,422,-282,19977.2992477417,-101.09989166259766
2023-04-19,99884.350268285,422,-282,19896.99929046631,-79.87967681884766
2023-04-20,99937.08945080268,422,-282,19860.319526672363,-26.31952667236328
2023-04-21,99842.05137409759,422,-282,19743.54034423828,-120.54034423828125
2023-04-24,99870.54281897991,422,-282,19780.1198387146,-89.59990310668945
2023-04-25,99887.0658356908,422,-282,19408.30019378662,-72.26032257080078
2023-04-26,99884.92603894163,422,-282,19350.559677124023,-73.59954833984375
2023-04-27,99886.66811861696,422,-282,19584.339923858643,-71.0592155456543
2023-04-28,99795.59910531632,422,-282,19691.479957580566,-161.32047271728334
2023-05-01,99772.7909457001,0,0,0.0,0.0
2023-05-02,99764.90360294534,433,-289,19887.670694351196,-99.57036399841309
2023-05-03,99730.93310249782,433,-289,19773.59973526001,-132.7194709777832
2023-05-04,99704.11443949246,433,-289,19782.279933929443,-158.72006607055664
2023-05-05,99705.86446157005,433,-289,20333.94989013672,-156.15055084228516
2023-05-08,99681.65833981129,433,-289,20364.290033340454,-177.8304958343506
2023-05-09,99628.86515702374,433,-289,20294.999547958374,-229.77948188781738
2023-05-10,99701.6808793444,433,-289,20281.960077285767,-156.12027549743652
2023-05-11,99709.6414324009,433,-289,20047.999404907227,-147.3198013305664
2023-05-12,99710.30124531382,433,-289,19968.56951522827,-145.8300437927228
2023-05-15,99693.24078137337,433,-289,20208.310319900513,-160.4106502532959
2023-05-16,99667.39708531644,0,0,0.0,0.0
2023-05-17,99659.53159289979,431,-287,19877.600076675415,-120.56001091003418
2023-05-18,99650.04927974188,431,-287,19800.060218811035,-129.2204818725586
2023-05-19,99709.5911004206,431,-287,19894.859649658203,-68.85964965820312
2023-05-22,99692.77894410455,431,-287,19909.210525512695,-83.21052551269531
2023-05-23,99686.07747974302,431,-287,19673.729791641235,-89.09038352966309
2023-05-24,99673.56559439024,431,-287,19306.150690078735,-100.79009819030762
2023-05-25,99669.7874351699,431,-287,19119.490251541138,-103.77071189880371
2023-05-26,99740.9285332673,431,-287,19357.879682540894,-31.839616775512695
2023-05-30,99739.09066754695,431,-287,19209.990131378174,-30.490131378173828
2023-05-31,99649.14093768634,431,-287,18971.589879989624,-119.64915657043457
2023-06-01,99721.22237572038,0,0,0.0,0.0
2023-06-02,99721.22237572038,0,0,0.0,0.0
2023-06-05,99721.22237572038,0,0,0.0,0.0
2023-06-06,99721.22237572038,0,0,0.0,0.0
2023-06-07,99721.22237572038,0,0,0.0,0.0
2023-06-08,99721.22237572038,0,0,0.0,0.0
2023-06-09,99721.22237572038,0,0,0.0,0.0
2023-06-12,99721.22237572038,0,0,0.0,0.0
2023-06-13,99721.22237572038,0,0,0.0,0.0
2023-06-14,99721.22237572038,0,0,0.0,0.0
2023-06-15,99721.22237572038,0,0,0.0,0.0
2023-06-16,99721.22237572038,0,0,0.0,0.0
2023-06-20,99721.22237572038,0,0,0.0,0.0
2023-06-21,99721.22237572038,0,0,0.0,0.0
2023-06-22,99721.22237572038,0,0,0.0,0.0
