date,event,qx,qy,px,py,hedge,commission,slippage
2023-01-09,ENTRY,-443,288,23.010000228881836,33.95000076293945,1.5404039882236051,3.9608029030418392,3.994206064224243
2023-01-24,EXIT,443,-288,24.6200008392334,35.33000183105469,,3.9602512158203123,4.2163401798248294
2023-01-25,ENTRY,-415,272,24.86000061035156,35.22999954223633,1.5271988083830035,3.7445070075988776,3.9798920257568358
2023-02-08,EXIT,415,-272,24.350000381469727,35.290000915527344,,3.722966407470704,3.9408260814666747
2023-04-17,ENTRY,422,-282,23.450000762939453,35.5099983215332,1.4987576188709764,3.8204145858001706,3.9819439697265624
2023-05-01,EXIT,-422,282,23.06999969482422,35.13999938964844,,3.812066196136475,3.929003939819336
2023-05-02,ENTRY,433,-289,22.850000381469727,34.58000183105469,1.5004065804159876,3.9098086158752445,3.977534138870239
2023-05-16,EXIT,-433,289,22.729999542236328,34.66999816894531,,3.9052626940536497,3.972343854522705
2023-05-17,ENTRY,431,-287,22.920000076293945,34.84000015258789,1.5033807537040071,3.889972401313782,3.975520015335083
2023-06-01,EXIT,-431,287,22.3700008392334,33.72999954223633,,3.879244110851288,3.8643960460662843
2023-08-03,ENTRY,440,-289,22.34000015258789,34.72999954223633,1.5241300498019006,3.9461090960311895,3.9733139869689937
2023-08-17,EXIT,-440,289,21.440000534057617,33.72999954223633,,3.928008007049561,3.83631402053833
2023-08-18,ENTRY,457,-299,21.459999084472656,33.72999954223633,1.528603895517817,4.0825580958938605,3.9784978889465332
2023-09-01,EXIT,-457,299,22.25,34.93000030517578,,4.0850475,4.122464018249512
2023-09-14,ENTRY,439,-286,22.329999923706055,35.2400016784668,1.5360041212591358,3.9273592144012452,3.9763020893096925
2023-09-28,EXIT,-439,286,21.6299991607666,33.72999954223633,,3.909867088947296,3.8284699001312257
2023-10-09,ENTRY,-462,300,21.459999084472656,33.13999938964844,1.5421515106185388,4.107435587310791,3.9713038787841795
2023-10-13,EXIT,462,-300,21.15999984741211,33.18000030517578,,4.108620002746582,3.945984004211426
2023-10-30,ENTRY,-481,312,20.799999237060547,31.81999969482422,1.544136868574278,4.2651439889907845,3.9865279075622557
2023-11-13,EXIT,481,-312,21.489999771118164,33.459999084472656,,4.278185591430664,4.155241920852662
2023-12-13,ENTRY,-426,276,23.6200008392334,35.790000915527344,1.5447228705142433,3.8118636107254025,3.988032122039795
2023-12-28,EXIT,426,-276,24.489999771118164,36.70000076293945,,3.8138760063171384,4.112388022613525
2023-12-29,ENTRY,-414,268,24.34000015258789,36.68000030517578,1.5483044626198992,3.7123028018951416,3.981400028991699
2024-01-16,EXIT,414,-268,23.100000381469727,35.970001220703125,,3.6991988098144533,3.840672097015381
2024-03-18,ENTRY,411,-267,24.079999923706055,37.720001220703125,1.5426929668593414,3.692137209777832,3.9936240589141847
2024-03-28,EXIT,-411,267,24.65999984741211,38.279998779296875,,3.6940577981185916,4.071203922271728
2024-04-17,ENTRY,422,-273,23.5,36.77000045776367,1.5464554573555267,3.7761463037490843,3.9910420249938965
2024-05-01,EXIT,-422,273,23.38999938964844,36.939998626708984,,3.7711173922729495,3.991039873504639
2024-06-06,ENTRY,-402,260,25.100000381469727,37.9900016784668,1.5494576268891016,3.6127060046005255,3.9935201179504394
2024-06-21,EXIT,402,-260,24.3700008392334,36.4900016784668,,3.5946220130920414,3.8568281547546386
2024-06-24,ENTRY,-412,265,24.459999084472656,37.08000183105469,1.5574789363712462,3.6873255886840823,3.9807440216064456
2024-07-09,EXIT,412,-265,24.770000457763672,37.540000915527344,,3.6834430072784423,4.030668086242676
2024-07-15,ENTRY,-395,255,25.540000915527344,38.599998474121094,1.5495552180088488,3.5526490108489996,3.9862599945068355
2024-07-19,EXIT,395,-255,24.950000762939453,38.380001068115234,,3.5436070081710813,3.9284301147460936
2024-08-16,ENTRY,396,-256,24.950000762939453,39.27000045776367,1.5500518422640832,3.561593603515625,3.986664083862305
2024-08-20,EXIT,-396,256,25.260000228881836,39.45000076293945,,3.5600888027191164,4.020432057189941
2024-10-17,ENTRY,372,-240,26.459999084472656,41.880001068115234,1.5540847632484938,3.3615360076904297,3.978863983154297
2024-10-31,EXIT,-372,240,25.350000381469727,40.630001068115234,,3.342906004257202,3.836280079650879
