date,equity,qx,qy,gross,net
2023-01-03,100000.0,0,0,0.0,0.0
2023-01-04,100000.0,0,0,0.0,0.0
2023-01-05,100000.0,0,0,0.0,0.0
2023-01-06,100000.0,0,0,0.0,0.0
2023-01-09,99984.08998206547,-443,288,19971.030321121216,-415.8298816680908
2023-01-10,99951.84365002827,-443,288,19967.040229797363,-446.4005813598633
2023-01-11,99912.08614394942,-443,288,20212.480270385742,-484.48027038574037
2023-01-12,99831.77554781549,-443,288,20550.290185928345,-563.0897464752197
2023-01-13,99781.98024210805,-443,288,20661.710496902466,-611.1497058868408
2023-01-17,99762.14672244887,-443,288,20755.189847946167,-623.989408493042
2023-01-18,99767.67906324839,-443,288,20523.260665893555,-616.6998748779279
2023-01-19,99694.6213360933,-443,288,20629.139455795288,-688.0200710296631
2023-01-20,99689.34924414667,-443,288,20909.13918876648,-691.5400676727295
2023-01-23,99674.95398226018,-443,288,21050.690189361572,-700.6091346740723
2023-01-24,99625.80231167968,0,0,0.0,0.0
2023-01-25,99610.35351361296,-415,272,19899.46012878418,-734.3403778076154
2023-01-26,99648.33748211255,-415,272,20071.93989944458,-694.6604804992676
2023-01-27,99693.43039906418,-415,272,20052.339723587036,-647.8607196807861
2023-01-30,99664.23694561717,-415,272,19820.750429153442,-671.9500141143799
2023-01-31,99763.36287293925,-415,272,20062.660751342773,-571.1397552490216
2023-02-01,99653.76684914452,-415,272,20170.560846328735,-679.0398502349854
2023-02-02,99699.5526874232,-415,272,20068.660097122192,-631.5403461456299
2023-02-03,99810.88148678486,-415,272,19841.390409469604,-518.510160446167
2023-02-06,99795.23200492264,-415,272,19639.85997390747,-529.1393928527832
2023-02-07,99800.05341636794,-415,272,19845.540504455566,-522.6602554321289
2023-02-08,99799.34207884311,0,0,0.0,0.0
2023-02-09,99799.34207884311,0,0,0.0,0.0
2023-02-10,99799.34207884311,0,0,0.0,0.0
2023-02-13,99799.34207884311,0,0,0.0,0.0
2023-02-14,99799.34207884311,0,0,0.0,0.0
2023-02-15,99799.34207884311,0,0,0.0,0.0
2023-02-16,99799.34207884311,0,0,0.0,0.0
2023-02-17,99799.34207884311,0,0,0.0,0.0
2023-02-21,99799.34207884311,0,0,0.0,0.0
2023-02-22,99799.34207884311,0,0,0.0,0.0
2023-02-23,99799.34207884311,0,0,0.0,0.0
2023-02-24,99799.34207884311,0,0,0.0,0.0
2023-02-27,99799.34207884311,0,0,0.0,0.0
2023-02-28,99799.34207884311,0,0,0.0,0.0
2023-03-01,99799.34207884311,0,0,0.0,0.0
2023-03-02,99799.34207884311,0,0,0.0,0.0
2023-03-03,99799.34207884311,0,0,0.0,0.0
2023-03-06,99799.34207884311,0,0,0.0,0.0
2023-03-07,99799.34207884311,0,0,0.0,0.0
2023-03-08,99799.34207884311,0,0,0.0,0.0
2023-03-09,99799.34207884311,0,0,0.0,0.0
2023-03-10,99799.34207884311,0,0,0.0,0.0
2023-03-13,99799.34207884311,0,0,0.0,0.0
2023-03-14,99799.34207884311,0,0,0.0,0.0
2023-03-15,99799.34207884311,0,0,0.0,0.0
2023-03-16,99799.34207884311,0,0,0.0,0.0
2023-03-17,99799.34207884311,0,0,0.0,0.0
2023-03-20,99799.34207884311,0,0,0.0,0.0
2023-03-21,99799.34207884311,0,0,0.0,0.0
2023-03-22,99799.34207884311,0,0,0.0,0.0
2023-03-23,99799.34207884311,0,0,0.0,0.0
2023-03-24,99799.34207884311,0,0,0.0,0.0
2023-03-27,99799.34207884311,0,0,0.0,0.0
2023-03-28,99799.34207884311,0,0,0.0,0.0
2023-03-29,99799.34207884311,0,0,0.0,0.0
2023-03-30,99799.34207884311,0,0,0.0,0.0
2023-03-31,99799.34207884311,0,0,0.0,0.0
2023-04-03,99799.34207884311,0,0,0.0,0.0
2023-04-04,99799.34207884311,0,0,0.0,0.0
2023-04-05,99799.34207884311,0,0,0.0,0.0
2023-04-06,99799.34207884311,0,0,0.0,0.0
2023-04-10,99799.34207884311,0,0,0.0,0.0
2023-04-11,99799.34207884311,0,0,0.0,0.0
2023-04-12,99799.34207884311,0,0,0.0,0.0
2023-04-13,99799.34207884311,0,0,0.0,0.0
2023-04-14,99799.34207884311,0,0,0.0,0.0
2023-04-17,99783.73736173206,422,-282,19909.719848632812,-117.91920471191406
2023-04-18,99798.91056746192,422,-282,19977.2992477417,-101.09989166259766
2023-04-19,99818.48050292434,422,-282,19896.99929046631,-79.87967681884766
2023-04-20,99870.39871781324,422,-282,19860.319526672363,-26.31952667236328
2023-04-21,99774.54338196896,422,-282,19743.54034423828,-120.54034423828125
2023-04-24,99800.58583060202,422,-282,19780.1198387146,-89.59990310668945
2023-04-25,99816.2922834879,422,-282,19408.30019378662,-72.26032257080078
2023-04-26,99813.35191575861,422,-282,19350.559677124023,-73.59954833984375
2023-04-27,99814.2957423151,422,-282,19584.339923858643,-71.0592155456543
2023-04-28,99722.41897288543,422,-282,19691.479957580566,-161.32047271728334
2023-05-01,99689.42213760075,0,0,0.0,0.0
2023-05-02,99673.64745209126,433,-289,19887.670694351196,-99.57036399841309
2023-05-03,99638.8555581756,433,-289,19773.59973526001,-132.7194709777832
2023-05-04,99611.21882725765,433,-289,19782.279933929443,-158.72006607055664
2023-05-05,99612.14935618454,433,-289,20333.94989013672,-156.15055084228516
2023-05-08,99585.41705765908,433,-289,20364.290033340454,-177.8304958343506
2023-05-09,99531.77967813746,433,-289,20294.999547958374,-229.77948188781738
2023-05-10,99603.7519163884,433,-289,20281.960077285767,-156.12027549743652
2023-05-11,99610.87254833449,433,-289,20047.999404907227,-147.3198013305664
2023-05-12,99610.7024166225,433,-289,19968.56951522827,-145.8300437927228
2023-05-15,99591.16209520218,433,-289,20208.310319900513,-160.4106502532959
2023-05-16,99556.60372187184,0,0,0.0,0.0
2023-05-17,99540.87273703855,431,-287,19877.600076675415,-120.56001091003418
2023-05-18,99530.56858168526,431,-287,19800.060218811035,-129.2204818725586
2023-05-19,99589.29139082834,431,-287,19894.859649658203,-68.85964965820312
2023-05-22,99570.01795405072,431,-287,19909.210525512695,-83.21052551269531
2023-05-23,99562.49488334463,431,-287,19673.729791641235,-89.09038352966309
2023-05-24,99549.17082729972,431,-287,19306.150690078735,-100.79009819030762
2023-05-25,99544.59512256754,431,-287,19119.490251541138,-103.77071189880371
2023-05-26,99614.94622363904,431,-287,19357.879682540894,-31.839616775512695
2023-05-30,99609.92100680099,431,-287,19209.990131378174,-30.490131378173828
2023-05-31,99519.18057227206,431,-287,18971.589879989624,-119.64915657043457
2023-06-01,99582.7337986819,0,0,0.0,0.0
2023-06-02,99582.7337986819,0,0,0.0,0.0
2023-06-05,99582.7337986819,0,0,0.0,0.0
2023-06-06,99582.7337986819,0,0,0.0,0.0
2023-06-07,99582.7337986819,0,0,0.0,0.0
2023-06-08,99582.7337986819,0,0,0.0,0.0
2023-06-09,99582.7337986819,0,0,0.0,0.0
2023-06-12,99582.7337986819,0,0,0.0,0.0
2023-06-13,99582.7337986819,0,0,0.0,0.0
2023-06-14,99582.7337986819,0,0,0.0,0.0
2023-06-15,99582.7337986819,0,0,0.0,0.0
2023-06-16,99582.7337986819,0,0,0.0,0.0
2023-06-20,99582.7337986819,0,0,0.0,0.0
2023-06-21,99582.7337986819,0,0,0.0,0.0
2023-06-22,99582.7337986819,0,0,0.0,0.0
