date,equity,qx,qy,gross,net
2016-01-04,100000.0,0,0,0.0,0.0
2016-01-05,99990.60554837628,-566,452,19958.4001121521,-893.0399742126465
2016-01-06,100081.80858021771,-566,452,19450.49927520752,-800.9800338745117
2016-01-07,100289.65656064507,-566,452,18798.85924911499,-592.2998008728009
2016-01-08,100389.67959472809,-566,452,18616.679180145264,-491.4798698425293
2016-01-11,100186.04371540934,-566,452,18573.880569458008,-692.7599487304688
2016-01-12,100146.73127144693,-566,452,18648.56033706665,-731.2806129455566
2016-01-13,100116.85524596862,-566,452,18279.87944793701,-760.3602066040039
2016-01-14,100030.9725544545,-566,452,18590.979663848877,-845.4604225158691
2016-01-15,100252.57390879483,-566,452,17771.93968963623,-623.0603103637695
2016-01-19,99992.65045312225,-566,452,17956.51937866211,-879.95993041992
2016-01-20,99908.4504424591,0,0,0.0,0.0
2016-01-21,99898.59530051315,-616,495,19939.14976501465,-881.6497650146484
2016-01-22,100082.98009349339,-616,495,20506.309549331665,-696.4093227386475
2016-01-25,99984.33482682599,-616,495,20077.640102386475,-792.4405555725098
2016-01-26,100046.2876247668,-616,495,20559.33076286316,-729.6300830841064
2016-01-27,100177.30246069636,-616,495,20457.13982963562,-597.7403583526611
2016-01-28,100223.07823817158,-616,495,20885.700218200684,-551.0993118286133
2016-01-29,100257.50688608151,-616,495,21216.68954849243,-515.7896995544434
2016-02-01,100186.84692752376,-616,495,21185.66978263855,-583.7703113555908
2016-02-02,100278.46185072335,-616,495,20588.259998321533,-491.2607536315918
2016-02-03,100426.75589886734,-616,495,21033.100046157837,-342.1004238128662
2016-02-04,100409.12830708697,0,0,0.0,0.0
2016-02-05,100409.12830708697,0,0,0.0,0.0
2016-02-08,100409.12830708697,0,0,0.0,0.0
2016-02-09,100409.12830708697,0,0,0.0,0.0
2016-02-10,100409.12830708697,0,0,0.0,0.0
2016-02-11,100409.12830708697,0,0,0.0,0.0
2016-02-12,100409.12830708697,0,0,0.0,0.0
2016-02-16,100409.12830708697,0,0,0.0,0.0
2016-02-17,100409.12830708697,0,0,0.0,0.0
2016-02-18,100409.12830708697,0,0,0.0,0.0
2016-02-19,100409.12830708697,0,0,0.0,0.0
2016-02-22,100409.12830708697,0,0,0.0,0.0
2016-02-23,100409.12830708697,0,0,0.0,0.0
2016-02-24,100409.12830708697,0,0,0.0,0.0
2016-02-25,100409.12830708697,0,0,0.0,0.0
2016-02-26,100409.12830708697,0,0,0.0,0.0
2016-02-29,100409.12830708697,0,0,0.0,0.0
2016-03-01,100409.12830708697,0,0,0.0,0.0
2016-03-02,100409.12830708697,0,0,0.0,0.0
2016-03-03,100409.12830708697,0,0,0.0,0.0
2016-03-04,100409.12830708697,0,0,0.0,0.0
2016-03-07,100409.12830708697,0,0,0.0,0.0
2016-03-08,100409.12830708697,0,0,0.0,0.0
2016-03-09,100409.12830708697,0,0,0.0,0.0
2016-03-10,100409.12830708697,0,0,0.0,0.0
2016-03-11,100409.12830708697,0,0,0.0,0.0
2016-03-14,100409.12830708697,0,0,0.0,0.0
2016-03-15,100409.12830708697,0,0,0.0,0.0
2016-03-16,100409.12830708697,0,0,0.0,0.0
2016-03-17,100409.12830708697,0,0,0.0,0.0
2016-03-18,100409.12830708697,0,0,0.0,0.0
2016-03-21,100409.12830708697,0,0,0.0,0.0
2016-03-22,100409.12830708697,0,0,0.0,0.0
2016-03-23,100409.12830708697,0,0,0.0,0.0
2016-03-24,100409.12830708697,0,0,0.0,0.0
2016-03-28,100409.12830708697,0,0,0.0,0.0
2016-03-29,100409.12830708697,0,0,0.0,0.0
2016-03-30,100409.12830708697,0,0,0.0,0.0
2016-03-31,100409.12830708697,0,0,0.0,0.0
2016-04-01,100409.12830708697,0,0,0.0,0.0
2016-04-04,100409.12830708697,0,0,0.0,0.0
2016-04-05,100409.12830708697,0,0,0.0,0.0
2016-04-06,100399.9932918996,531,-433,20063.039892196655,-97.44070243835449
2016-04-07,100304.65520220097,531,-433,19743.3701171875,-191.95027923583984
2016-04-08,100196.88642425492,531,-433,20052.100202560425,-298.8997974395752
2016-04-11,100104.42781571142,531,-433,20152.670026779175,-388.84937858581725
2016-04-12,100169.08300853397,531,-433,20703.1305809021,-323.35001373291016
2016-04-13,100284.21916217644,531,-433,20905.729515075684,-207.34975814819336
2016-04-14,100415.53167525829,531,-433,20985.95015144348,-75.16958427429199
2016-04-15,100550.19538753689,531,-433,21052.19945526123,60.35965347290039
2016-04-18,100589.42692303422,531,-433,21275.87988471985,102.17922401428223
2016-04-19,100523.67802873426,531,-433,21669.980085372925,37.30048179626465
2016-04-20,100463.29351141377,0,0,0.0,0.0
2016-04-21,100463.29351141377,0,0,0.0,0.0
2016-04-22,100463.29351141377,0,0,0.0,0.0
2016-04-25,100463.29351141377,0,0,0.0,0.0
2016-04-26,100463.29351141377,0,0,0.0,0.0
2016-04-27,100463.29351141377,0,0,0.0,0.0
2016-04-28,100454.47524810924,496,-404,20060.560508728027,-349.5196762084961
2016-04-29,100426.83645938014,496,-404,20146.879997253418,-376.31969451904297
2016-05-02,100559.30585856114,496,-404,20160.679962158203,-241.32003784179688
2016-05-03,100684.94775925527,496,-404,19786.19962310791,-114.8396987915039
2016-05-04,100720.24989581203,496,-404,19442.560165405273,-78.71971130371094
2016-05-05,100718.5276303764,496,-404,19433.55995941162,-79.63973236083984
2016-05-06,100685.76498655394,496,-404,19425.839782714844,-111.6004638671875
2016-05-09,100787.27744939858,496,-404,19222.720108032227,-7.6792755126953125
2016-05-10,100822.00614857594,496,-404,19613.75952911377,27.83971405029297
2016-05-11,100746.08124501504,496,-404,19619.439834594727,-47.28028869628906
2016-05-12,100683.47610292661,0,0,0.0,0.0
2016-05-13,100683.47610292661,0,0,0.0,0.0
2016-05-16,100683.47610292661,0,0,0.0,0.0
2016-05-17,100683.47610292661,0,0,0.0,0.0
2016-05-18,100683.47610292661,0,0,0.0,0.0
2016-05-19,100683.47610292661,0,0,0.0,0.0
2016-05-20,100683.47610292661,0,0,0.0,0.0
2016-05-23,100683.47610292661,0,0,0.0,0.0
2016-05-24,100683.47610292661,0,0,0.0,0.0
2016-05-25,100683.47610292661,0,0,0.0,0.0
2016-05-26,100674.55430422413,507,-412,20105.679540634155,-271.8400821685791
