date,equity,qx,qy,gross,net
2016-01-04,100000.0,0,0,0.0,0.0
2016-01-05,99981.21109675255,-566,452,19958.4001121521,-893.0399742126465
2016-01-06,100071.55722009728,-566,452,19450.49927520752,-800.9800338745117
2016-01-07,100278.5729479503,-566,452,18798.85924911499,-592.2998008728009
2016-01-08,100377.79908508605,-566,452,18616.679180145264,-491.4798698425293
2016-01-11,100171.80740533647,-566,452,18573.880569458008,-692.7599487304688
2016-01-12,100131.70318162674,-566,452,18648.56033706665,-731.2806129455566
2016-01-13,100101.03072432856,-566,452,18279.87944793701,-760.3602066040039
2016-01-14,100014.36555721222,-566,452,18590.979663848877,-845.4604225158691
2016-01-15,100235.16815374079,-566,452,17771.93968963623,-623.0603103637695
2016-01-19,99972.22086245175,-566,452,17956.51937866211,-879.95993041992
2016-01-20,99878.34103994748,0,0,0.0,0.0
2016-01-21,99858.63075605557,-616,495,19939.14976501465,-881.6497650146484
2016-01-22,100042.15989974006,-616,495,20506.309549331665,-696.4093227386475
2016-01-25,99940.9005992391,-616,495,20077.640102386475,-792.4405555725098
2016-01-26,100001.99572263233,-616,495,20559.33076286316,-729.6300830841064
2016-01-27,100132.13566976,-616,495,20457.13982963562,-597.7403583526611
2016-01-28,100177.0461781864,-616,495,20885.700218200684,-551.0993118286133
2016-01-29,100210.59386173208,-616,495,21216.68954849243,-515.7896995544434
2016-02-01,100137.25455641771,-616,495,21185.66978263855,-583.7703113555908
2016-02-02,100227.97484509289,-616,495,20588.259998321533,-491.2607536315918
2016-02-03,100375.40261156214,-616,495,21033.100046157837,-342.1004238128662
2016-02-04,100346.7466559067,0,0,0.0,0.0
2016-02-05,100346.7466559067,0,0,0.0,0.0
2016-02-08,100346.7466559067,0,0,0.0,0.0
2016-02-09,100346.7466559067,0,0,0.0,0.0
2016-02-10,100346.7466559067,0,0,0.0,0.0
2016-02-11,100346.7466559067,0,0,0.0,0.0
2016-02-12,100346.7466559067,0,0,0.0,0.0
2016-02-16,100346.7466559067,0,0,0.0,0.0
2016-02-17,100346.7466559067,0,0,0.0,0.0
2016-02-18,100346.7466559067,0,0,0.0,0.0
2016-02-19,100346.7466559067,0,0,0.0,0.0
2016-02-22,100346.7466559067,0,0,0.0,0.0
2016-02-23,100346.7466559067,0,0,0.0,0.0
2016-02-24,100346.7466559067,0,0,0.0,0.0
2016-02-25,100346.7466559067,0,0,0.0,0.0
2016-02-26,100346.7466559067,0,0,0.0,0.0
2016-02-29,100346.7466559067,0,0,0.0,0.0
2016-03-01,100346.7466559067,0,0,0.0,0.0
2016-03-02,100346.7466559067,0,0,0.0,0.0
2016-03-03,100346.7466559067,0,0,0.0,0.0
2016-03-04,100346.7466559067,0,0,0.0,0.0
2016-03-07,100346.7466559067,0,0,0.0,0.0
2016-03-08,100346.7466559067,0,0,0.0,0.0
2016-03-09,100346.7466559067,0,0,0.0,0.0
2016-03-10,100346.7466559067,0,0,0.0,0.0
2016-03-11,100346.7466559067,0,0,0.0,0.0
2016-03-14,100346.7466559067,0,0,0.0,0.0
2016-03-15,100346.7466559067,0,0,0.0,0.0
2016-03-16,100346.7466559067,0,0,0.0,0.0
2016-03-17,100346.7466559067,0,0,0.0,0.0
2016-03-18,100346.7466559067,0,0,0.0,0.0
2016-03-21,100346.7466559067,0,0,0.0,0.0
2016-03-22,100346.7466559067,0,0,0.0,0.0
2016-03-23,100346.7466559067,0,0,0.0,0.0
2016-03-24,100346.7466559067,0,0,0.0,0.0
2016-03-28,100346.7466559067,0,0,0.0,0.0
2016-03-29,100346.7466559067,0,0,0.0,0.0
2016-03-30,100346.7466559067,0,0,0.0,0.0
2016-03-31,100346.7466559067,0,0,0.0,0.0
2016-04-01,100346.7466559067,0,0,0.0,0.0
2016-04-04,100346.7466559067,0,0,0.0,0.0
2016-04-05,100346.7466559067,0,0,0.0,0.0
2016-04-06,100328.514854332,530,-432,20020.95989227295,-92.96070098876953
2016-04-07,100232.4820777424,530,-432,19701.940116882324,-187.34027862548828
2016-04-08,100124.18782317187,530,-432,20010.000202178955,-293.9997978210449
2016-04-11,100029.44177535668,530,-432,20110.34002685547,-383.7393798828143
2016-04-12,100093.23669677642,530,-432,20659.660579681396,-318.26001358032227
